alpha,case,PSNR,SSIM,LPIPS,Delta_PSNR_vs_HYPIR50,Delta_SSIM_vs_HYPIR50,Delta_LPIPS_vs_HYPIR50,Delta_PSNR_vs_Fidelity,Delta_SSIM_vs_Fidelity,Delta_LPIPS_vs_Fidelity
0.0,case1,32.105050,0.951272,0.084784,-0.038270,0.005972,0.020115,0.000000,0.000000,0.000000
0.2,case1,32.215433,0.952450,0.081447,0.072114,0.007150,0.016779,0.110383,0.001178,-0.003337
0.4,case1,32.280139,0.952345,0.076160,0.136820,0.007045,0.011492,0.175090,0.001073,-0.008623
0.6,case1,32.268785,0.949603,0.069179,0.125465,0.004304,0.004510,0.163735,-0.001669,-0.015605
0.8,case1,32.216515,0.946926,0.066373,0.073195,0.001627,0.001705,0.111465,-0.004346,-0.018411
1.0,case1,32.143319,0.945300,0.064668,0.000000,0.000000,0.000000,0.038270,-0.005972,-0.020115
0.0,case2,28.111951,0.826285,0.109086,-0.864326,0.000853,0.029633,0.000000,0.000000,0.000000
0.2,case2,28.555478,0.831007,0.098565,-0.420800,0.005575,0.019112,0.443526,0.004722,-0.010521
0.4,case2,28.890274,0.833225,0.090336,-0.086004,0.007794,0.010882,0.778322,0.006941,-0.018751
0.6,case2,29.077392,0.832408,0.084177,0.101114,0.006976,0.004724,0.965440,0.006124,-0.024909
0.8,case2,29.103657,0.829287,0.080584,0.127380,0.003855,0.001130,0.991706,0.003002,-0.028503
1.0,case2,28.976278,0.825432,0.079454,0.000000,0.000000,0.000000,0.864326,-0.000853,-0.029633
0.0,case3,35.404210,0.932529,0.102273,0.715497,0.012116,0.028051,0.000000,0.000000,0.000000
0.2,case3,35.557228,0.933241,0.095609,0.868515,0.012828,0.021388,0.153018,0.000712,-0.006663
0.4,case3,35.566114,0.932511,0.087163,0.877402,0.012099,0.012941,0.161905,-0.000017,-0.015110
0.6,case3,35.382589,0.929093,0.074909,0.693876,0.008681,0.000688,-0.021621,-0.003435,-0.027363
0.8,case3,35.068389,0.924563,0.071398,0.379677,0.004151,-0.002823,-0.335821,-0.007965,-0.030875
1.0,case3,34.688713,0.920412,0.074222,0.000000,0.000000,0.000000,-0.715497,-0.012116,-0.028051
0.0,case4,18.074936,0.312053,0.663786,-0.009663,0.001673,0.120313,0.000000,0.000000,0.000000
0.2,case4,18.089977,0.312850,0.645243,0.005378,0.002470,0.101769,0.015041,0.000797,-0.018543
0.4,case4,18.098758,0.313203,0.619810,0.014159,0.002823,0.076337,0.023822,0.001150,-0.043976
0.6,case4,18.100669,0.312884,0.592573,0.016070,0.002505,0.049099,0.025733,0.000831,-0.071213
0.8,case4,18.095744,0.311790,0.566467,0.011144,0.001410,0.022994,0.020807,-0.000263,-0.097319
1.0,case4,18.084599,0.310380,0.543474,0.000000,0.000000,0.000000,0.009663,-0.001673,-0.120313
0.0,case5,26.446996,0.878676,0.124192,-0.947762,-0.004477,0.075816,0.000000,0.000000,0.000000
0.2,case5,27.045354,0.887704,0.105111,-0.349403,0.004551,0.056735,0.598358,0.009027,-0.019082
0.4,case5,27.487101,0.893164,0.084589,0.092343,0.010011,0.036213,1.040105,0.014487,-0.039603
0.6,case5,27.706468,0.893615,0.066949,0.311710,0.010462,0.018573,1.259472,0.014939,-0.057243
0.8,case5,27.671733,0.890096,0.054848,0.276975,0.006942,0.006472,1.224737,0.011419,-0.069344
1.0,case5,27.394758,0.883153,0.048376,0.000000,0.000000,0.000000,0.947762,0.004477,-0.075816
0.0,Average,28.028629,0.780163,0.216824,-0.228905,0.003227,0.054786,0.000000,0.000000,0.000000
0.2,Average,28.292694,0.783450,0.205195,0.035161,0.006515,0.043157,0.264065,0.003287,-0.011629
0.4,Average,28.464477,0.784890,0.191612,0.206944,0.007954,0.029573,0.435849,0.004727,-0.025213
0.6,Average,28.507181,0.783521,0.177557,0.249647,0.006586,0.015519,0.478552,0.003358,-0.039267
0.8,Average,28.431208,0.780532,0.167934,0.173674,0.003597,0.005896,0.402579,0.000369,-0.048890
1.0,Average,28.257533,0.776935,0.162039,0.000000,0.000000,0.000000,0.228905,-0.003227,-0.054786
