case,method,PSNR,SSIM,LPIPS_Alex,Delta_PSNR_vs_LQ,Delta_SSIM_vs_LQ,Delta_LPIPS_vs_LQ
case1,LQ,32.028801,0.948453,0.078818,0.000000,0.000000,0.000000
case1,HYPIR-50,32.143319,0.945300,0.064668,0.114518,-0.003154,-0.014150
case1,HYPIR-200,29.335323,0.846634,0.071107,-2.693478,-0.101820,-0.007712
case1,texture_selective_h200,32.154456,0.949652,0.067331,0.125654,0.001199,-0.011488
case1,adaptive_h50_h200,32.143319,0.945299,0.064667,0.114518,-0.003155,-0.014151
case2,LQ,28.189381,0.831443,0.103031,0.000000,0.000000,0.000000
case2,HYPIR-50,28.976278,0.825432,0.079454,0.786896,-0.006012,-0.023577
case2,HYPIR-200,24.213958,0.731045,0.108812,-3.975424,-0.100398,0.005782
case2,texture_selective_h200,29.241406,0.838088,0.079297,1.052024,0.006644,-0.023733
case2,adaptive_h50_h200,28.978656,0.825178,0.077231,0.789275,-0.006265,-0.025800
case3,LQ,35.622082,0.934958,0.058362,0.000000,0.000000,0.000000
case3,HYPIR-50,34.688713,0.920412,0.074221,-0.933369,-0.014546,0.015859
case3,HYPIR-200,28.865398,0.812097,0.169986,-6.756683,-0.122862,0.111624
case3,texture_selective_h200,35.630109,0.932953,0.056101,0.008027,-0.002005,-0.002261
case3,adaptive_h50_h200,34.631473,0.919526,0.076284,-0.990609,-0.015432,0.017922
case4,LQ,18.056199,0.309323,0.654324,0.000000,0.000000,0.000000
case4,HYPIR-50,18.084599,0.310380,0.543474,0.028400,0.001057,-0.110850
case4,HYPIR-200,16.352439,0.257605,0.376841,-1.703761,-0.051718,-0.277482
case4,texture_selective_h200,18.019865,0.306790,0.536617,-0.036334,-0.002533,-0.117707
case4,adaptive_h50_h200,18.070760,0.308648,0.522949,0.014561,-0.000675,-0.131375
case5,LQ,26.275637,0.864316,0.127053,0.000000,0.000000,0.000000
case5,HYPIR-50,27.394758,0.883153,0.048376,1.119121,0.018837,-0.078677
case5,HYPIR-200,23.875816,0.777249,0.071574,-2.399821,-0.087067,-0.055480
case5,texture_selective_h200,27.355563,0.879620,0.083397,1.079927,0.015304,-0.043657
case5,adaptive_h50_h200,27.395184,0.883382,0.047934,1.119548,0.019065,-0.079120
Average,LQ,28.034420,0.777699,0.204318,0.000000,0.000000,0.000000
Average,HYPIR-50,28.257533,0.776935,0.162039,0.223113,-0.000764,-0.042279
Average,HYPIR-200,24.528587,0.684926,0.159664,-3.505833,-0.092773,-0.044654
Average,texture_selective_h200,28.480280,0.781421,0.164548,0.445860,0.003722,-0.039769
Average,adaptive_h50_h200,28.243879,0.776406,0.157813,0.209459,-0.001292,-0.046505
