case,method,region,pixels,mean_alpha,change_L1,error_to_GT_L1
case1,LQ,strong_edge,2516583,0.000000,0.000000,9.768621
case1,LQ,textured_non_edge,51886,0.058594,0.000000,1.874616
case1,LQ,other,10014443,0.037705,0.000000,1.178697
case1,HYPIR-50,strong_edge,2516583,0.000000,3.635112,9.033009
case1,HYPIR-50,textured_non_edge,51886,0.058594,0.855632,1.967114
case1,HYPIR-50,other,10014443,0.037705,0.781995,1.380638
case1,HYPIR-200,strong_edge,2516583,0.000000,9.800676,11.349716
case1,HYPIR-200,textured_non_edge,51886,0.058594,1.919400,2.519607
case1,HYPIR-200,other,10014443,0.037705,2.125929,2.407038
case1,texture_selective_h200,strong_edge,2516583,0.000000,2.337740,9.348192
case1,texture_selective_h200,textured_non_edge,51886,0.058594,0.079880,1.867639
case1,texture_selective_h200,other,10014443,0.037705,0.006908,1.179363
case1,adaptive_h50_h200,strong_edge,2516583,0.000000,3.635112,9.033009
case1,adaptive_h50_h200,textured_non_edge,51886,0.058594,0.873546,1.966372
case1,adaptive_h50_h200,other,10014443,0.037705,0.803595,1.391796
case2,LQ,strong_edge,2516584,0.000000,0.000000,13.509303
case2,LQ,textured_non_edge,419187,0.126963,0.000000,6.159645
case2,LQ,other,9647141,0.058016,0.000000,4.127579
case2,HYPIR-50,strong_edge,2516584,0.000000,8.580615,11.906406
case2,HYPIR-50,textured_non_edge,419187,0.126963,2.492032,5.978041
case2,HYPIR-50,other,9647141,0.058016,1.695587,4.090315
case2,HYPIR-200,strong_edge,2516584,0.000000,24.077450,19.651217
case2,HYPIR-200,textured_non_edge,419187,0.126963,6.040349,6.761423
case2,HYPIR-200,other,9647141,0.058016,4.699200,5.401188
case2,texture_selective_h200,strong_edge,2516584,0.000000,5.324804,11.433098
case2,texture_selective_h200,textured_non_edge,419187,0.126963,1.536070,5.644563
case2,texture_selective_h200,other,9647141,0.058016,0.567138,3.923195
case2,adaptive_h50_h200,strong_edge,2516584,0.000000,8.580615,11.906406
case2,adaptive_h50_h200,textured_non_edge,419187,0.126963,2.802274,5.879351
case2,adaptive_h50_h200,other,9647141,0.058016,1.860539,4.078628
case3,LQ,strong_edge,2516583,0.000000,0.000000,5.031256
case3,LQ,textured_non_edge,279395,0.109211,0.000000,2.705838
case3,LQ,other,9786934,0.055413,0.000000,1.450532
case3,HYPIR-50,strong_edge,2516583,0.000000,3.783150,5.793312
case3,HYPIR-50,textured_non_edge,279395,0.109211,1.624073,3.173305
case3,HYPIR-50,other,9786934,0.055413,1.206755,1.984797
case3,HYPIR-200,strong_edge,2516583,0.000000,11.717484,11.605199
case3,HYPIR-200,textured_non_edge,279395,0.109211,4.115929,4.856893
case3,HYPIR-200,other,9786934,0.055413,3.333483,3.689075
case3,texture_selective_h200,strong_edge,2516583,0.000000,2.488757,5.152185
case3,texture_selective_h200,textured_non_edge,279395,0.109211,0.842529,2.809093
case3,texture_selective_h200,other,9786934,0.055413,0.269526,1.504995
case3,adaptive_h50_h200,strong_edge,2516583,0.000000,3.783150,5.793312
case3,adaptive_h50_h200,textured_non_edge,279395,0.109211,1.799662,3.245538
case3,adaptive_h50_h200,other,9786934,0.055413,1.290557,2.034758
case4,LQ,strong_edge,2516583,0.000000,0.000000,35.340649
case4,LQ,blurred_texture,54,0.133271,0.000000,30.672836
case4,LQ,textured_non_edge,394737,0.132477,0.000000,24.136026
case4,LQ,other,9671538,0.079683,0.000000,21.123352
case4,HYPIR-50,strong_edge,2516583,0.000000,6.054087,34.732117
case4,HYPIR-50,blurred_texture,54,0.133271,2.981482,29.493826
case4,HYPIR-50,textured_non_edge,394737,0.132477,2.820464,24.272495
case4,HYPIR-50,other,9671538,0.079683,2.192953,20.966440
case4,HYPIR-200,strong_edge,2516583,0.000000,27.503132,41.003159
case4,HYPIR-200,blurred_texture,54,0.133271,24.592590,33.944443
case4,HYPIR-200,textured_non_edge,394737,0.132477,10.433134,25.249979
case4,HYPIR-200,other,9671538,0.079683,10.104365,23.036854
case4,texture_selective_h200,strong_edge,2516583,0.000000,6.389049,34.997612
case4,texture_selective_h200,blurred_texture,54,0.133271,5.796296,29.345678
case4,texture_selective_h200,textured_non_edge,394737,0.132477,2.627178,23.946142
case4,texture_selective_h200,other,9671538,0.079683,1.632040,21.078640
case4,adaptive_h50_h200,strong_edge,2516583,0.000000,6.054087,34.732117
case4,adaptive_h50_h200,blurred_texture,54,0.133271,5.517902,28.951168
case4,adaptive_h50_h200,textured_non_edge,394737,0.132477,3.443767,24.164656
