coeff_t,Case,LQ PSNR (dB),Output PSNR (dB),Delta PSNR (dB),PSNR Conclusion,LQ SSIM,Output SSIM,Delta SSIM,SSIM Conclusion,LQ LPIPS-Alex,Output LPIPS-Alex,Delta LPIPS,LPIPS Conclusion,total_elapsed_seconds,model_load_seconds,Output Path
200,case1,32.028801,29.335323,-2.693478,Degraded,0.948453,0.846634,-0.101820,Degraded,0.072517,0.452658,0.380142,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_200\output\result\case1_lq.png
200,case2,28.189381,24.213958,-3.975424,Degraded,0.831443,0.731045,-0.100398,Degraded,0.373972,0.374753,0.000781,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_200\output\result\case2_lq.png
200,case3,35.622082,28.865398,-6.756683,Degraded,0.934958,0.812097,-0.122862,Degraded,0.170643,0.405851,0.235208,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_200\output\result\case3_lq.png
200,case4,18.056199,16.352439,-1.703761,Degraded,0.309323,0.257605,-0.051718,Degraded,0.879949,0.626074,-0.253875,Improved,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_200\output\result\case4_lq.png
200,case5,26.275637,23.875816,-2.399821,Degraded,0.864316,0.777249,-0.087067,Degraded,0.285579,0.445688,0.160109,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_200\output\result\case5_lq.png
200,Average,28.034420,24.528587,-3.505833,Degraded,0.777699,0.684926,-0.092773,Degraded,0.356532,0.461005,0.104473,Degraded,316.423,11.95,.
150,case1,32.028801,30.884323,-1.144479,Degraded,0.948453,0.906503,-0.041951,Degraded,0.072517,0.293403,0.220887,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_150\output\result\case1_lq.png
150,case2,28.189381,26.158736,-2.030645,Degraded,0.831443,0.777299,-0.054144,Degraded,0.373972,0.351527,-0.022445,Improved,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_150\output\result\case2_lq.png
150,case3,35.622082,31.523257,-4.098824,Degraded,0.934958,0.873243,-0.061715,Degraded,0.170643,0.312647,0.142004,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_150\output\result\case3_lq.png
150,case4,18.056199,17.389897,-0.666302,Degraded,0.309323,0.285376,-0.023947,Degraded,0.879949,0.672388,-0.207561,Improved,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_150\output\result\case4_lq.png
150,case5,26.275637,25.110399,-1.165237,Degraded,0.864316,0.828020,-0.036296,Degraded,0.285579,0.371992,0.086412,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_150\output\result\case5_lq.png
150,Average,28.034420,26.213323,-1.821097,Degraded,0.777699,0.734088,-0.043611,Degraded,0.356532,0.400391,0.043859,Degraded,350.165,12.87,.
100,case1,32.028801,31.757209,-0.271592,Degraded,0.948453,0.933505,-0.014949,Degraded,0.072517,0.197313,0.124796,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_100\output\result\case1_lq.png
100,case2,28.189381,27.929385,-0.259997,Degraded,0.831443,0.807759,-0.023684,Degraded,0.373972,0.335164,-0.038809,Improved,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_100\output\result\case2_lq.png
100,case3,35.622082,33.472287,-2.149795,Degraded,0.934958,0.904825,-0.030134,Degraded,0.170643,0.244225,0.073582,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_100\output\result\case3_lq.png
100,case4,18.056199,17.939315,-0.116884,Degraded,0.309323,0.303874,-0.005448,Degraded,0.879949,0.730582,-0.149367,Improved,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_100\output\result\case4_lq.png
100,case5,26.275637,26.424327,0.148691,Improved,0.864316,0.862551,-0.001765,Degraded,0.285579,0.306303,0.020724,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_100\output\result\case5_lq.png
100,Average,28.034420,27.504504,-0.529916,Degraded,0.777699,0.762503,-0.015196,Degraded,0.356532,0.362717,0.006185,Degraded,369.286,14.63,.
75,case1,32.028801,32.000888,-0.027913,Degraded,0.948453,0.940501,-0.007953,Degraded,0.072517,0.164041,0.091524,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_75\output\result\case1_lq.png
75,case2,28.189381,28.593125,0.403744,Improved,0.831443,0.818023,-0.013421,Degraded,0.373972,0.331343,-0.042629,Improved,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_75\output\result\case2_lq.png
75,case3,35.622082,34.166027,-1.456055,Degraded,0.934958,0.913928,-0.021031,Degraded,0.170643,0.218896,0.048253,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_75\output\result\case3_lq.png
75,case4,18.056199,18.041648,-0.014552,Degraded,0.309323,0.308373,-0.000949,Degraded,0.879949,0.760573,-0.119375,Improved,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_75\output\result\case4_lq.png
75,case5,26.275637,26.988038,0.712402,Improved,0.864316,0.874579,0.010263,Improved,0.285579,0.275765,-0.009814,Improved,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_75\output\result\case5_lq.png
75,Average,28.034420,27.957945,-0.076475,Degraded,0.777699,0.771081,-0.006618,Degraded,0.356532,0.350124,-0.006408,Improved,355.261,13.44,.
50,case1,32.028801,32.143319,0.114518,Improved,0.948453,0.945300,-0.003154,Degraded,0.072517,0.135358,0.062841,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_50\output\result\case1_lq.png
50,case2,28.189381,28.976278,0.786896,Improved,0.831443,0.825432,-0.006012,Degraded,0.373972,0.331810,-0.042162,Improved,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_50\output\result\case2_lq.png
50,case3,35.622082,34.688713,-0.933369,Degraded,0.934958,0.920412,-0.014546,Degraded,0.170643,0.198108,0.027465,Degraded,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_50\output\result\case3_lq.png
50,case4,18.056199,18.084599,0.028400,Improved,0.309323,0.310380,0.001057,Improved,0.879949,0.785311,-0.094638,Improved,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_50\output\result\case4_lq.png
50,case5,26.275637,27.394758,1.119121,Improved,0.864316,0.883153,0.018837,Improved,0.285579,0.244238,-0.041341,Improved,,,D:\MyProjects\CSIG\baseline\experiments\coeff_t_50\output\result\case5_lq.png
50,Average,28.034420,28.257533,0.223113,Improved,0.777699,0.776935,-0.000764,Degraded,0.356532,0.338965,-0.017567,Improved,342.774,11.78,.
