case,method,PSNR,SSIM,LPIPS,Delta PSNR vs LQ,Delta SSIM vs LQ,Delta LPIPS vs LQ
case1,LQ,32.028801,0.948453,0.072517,0.000000,0.000000,0.000000
case1,HYPIR-200,29.335323,0.846634,0.452658,-2.693478,-0.101820,0.380142
case1,HYPIR-50,32.143319,0.945300,0.135358,0.114518,-0.003154,0.062841
case1,fixed_50_50,31.222559,0.917456,0.256565,-0.806242,-0.030997,0.184048
case1,confidence_200_50,31.241846,0.936610,0.179412,-0.786955,-0.011843,0.106895
case1,confidence_200_LQ,31.560822,0.943617,0.135743,-0.467979,-0.004837,0.063227
case2,LQ,28.189381,0.831443,0.373972,0.000000,0.000000,0.000000
case2,HYPIR-200,24.213958,0.731045,0.374753,-3.975424,-0.100398,0.000781
case2,HYPIR-50,28.976278,0.825432,0.331810,0.786896,-0.006012,-0.042162
case2,fixed_50_50,27.246409,0.794586,0.336775,-0.942973,-0.036858,-0.037197
case2,confidence_200_50,27.953173,0.812670,0.334781,-0.236209,-0.018774,-0.039191
case2,confidence_200_LQ,29.108667,0.832571,0.332757,0.919286,0.001128,-0.041215
case3,LQ,35.622082,0.934958,0.170643,0.000000,0.000000,0.000000
case3,HYPIR-200,28.865398,0.812097,0.405851,-6.756683,-0.122862,0.235208
case3,HYPIR-50,34.688713,0.920412,0.198108,-0.933369,-0.014546,0.027465
case3,fixed_50_50,32.026405,0.882494,0.279642,-3.595677,-0.052465,0.108998
case3,confidence_200_50,32.848050,0.907307,0.213365,-2.774032,-0.027652,0.042722
case3,confidence_200_LQ,34.371180,0.925065,0.173905,-1.250901,-0.009894,0.003262
case4,LQ,18.056199,0.309323,0.879949,0.000000,0.000000,0.000000
case4,HYPIR-200,16.352439,0.257605,0.626074,-1.703761,-0.051718,-0.253875
case4,HYPIR-50,18.084599,0.310380,0.785311,0.028400,0.001057,-0.094638
case4,fixed_50_50,17.544834,0.287494,0.635947,-0.511365,-0.021828,-0.244002
case4,confidence_200_50,17.746928,0.298826,0.671120,-0.309271,-0.010497,-0.208829
case4,confidence_200_LQ,17.825277,0.301069,0.699577,-0.230922,-0.008253,-0.180372
case5,LQ,26.275637,0.864316,0.285579,0.000000,0.000000,0.000000
case5,HYPIR-200,23.875816,0.777249,0.445688,-2.399821,-0.087067,0.160109
case5,HYPIR-50,27.394758,0.883153,0.244238,1.119121,0.018837,-0.041341
case5,fixed_50_50,26.252988,0.855972,0.319789,-0.022649,-0.008344,0.034210
case5,confidence_200_50,26.665833,0.877304,0.263393,0.390196,0.012987,-0.022186
case5,confidence_200_LQ,27.377611,0.881160,0.244417,1.101975,0.016844,-0.041162
Average,LQ,28.034420,0.777699,0.356532,0.000000,0.000000,0.000000
Average,HYPIR-200,24.528587,0.684926,0.461005,-3.505833,-0.092773,0.104473
Average,HYPIR-50,28.257533,0.776935,0.338965,0.223113,-0.000764,-0.017567
Average,fixed_50_50,26.858639,0.747600,0.365744,-1.175781,-0.030098,0.009211
Average,confidence_200_50,27.291166,0.766543,0.332414,-0.743254,-0.011156,-0.024118
Average,confidence_200_LQ,28.048711,0.776696,0.317280,0.014292,-0.001002,-0.039252
