case,method,region,pixels,change_L1,change_RMSE,gradient_change
case1,LQ,high_confidence,6291457,0.000000,0.000000,0.000000
case1,LQ,low_confidence,6291455,0.000000,0.000000,0.000000
case1,HYPIR-200,high_confidence,6291457,5.150281,9.775842,3.241886
case1,HYPIR-200,low_confidence,6291455,2.169773,2.857571,2.184848
case1,HYPIR-50,high_confidence,6291457,1.976881,3.368500,0.895135
case1,HYPIR-50,low_confidence,6291455,0.728963,1.023094,0.541421
case1,fixed_50_50,high_confidence,6291457,3.306095,6.154541,1.785885
case1,fixed_50_50,low_confidence,6291455,1.272843,1.689399,1.178477
case1,confidence_200_50,high_confidence,6291457,3.088624,6.239604,1.518810
case1,confidence_200_50,low_confidence,6291455,0.740571,1.036766,0.552308
case1,confidence_200_LQ,high_confidence,6291457,1.977717,5.007068,1.111492
case1,confidence_200_LQ,low_confidence,6291455,0.048502,0.220315,0.078725
case2,LQ,high_confidence,6291456,0.000000,0.000000,0.000000
case2,LQ,low_confidence,6291456,0.000000,0.000000,0.000000
case2,HYPIR-200,high_confidence,6291456,14.577098,24.721577,6.072826
case2,HYPIR-200,low_confidence,6291456,2.661965,5.233932,1.811980
case2,HYPIR-50,high_confidence,6291456,5.123505,8.726065,1.973806
case2,HYPIR-50,low_confidence,6291456,1.074749,1.676171,0.529915
case2,fixed_50_50,high_confidence,6291456,9.592598,16.276894,3.826037
case2,fixed_50_50,low_confidence,6291456,1.695283,3.201950,0.956150
case2,confidence_200_50,high_confidence,6291456,8.258013,14.371384,3.216425
case2,confidence_200_50,low_confidence,6291456,1.172611,2.008529,0.565093
case2,confidence_200_LQ,high_confidence,6291456,5.254926,9.690961,2.236219
case2,confidence_200_LQ,low_confidence,6291456,0.230254,0.785027,0.151941
case3,LQ,high_confidence,6291456,0.000000,0.000000,0.000000
case3,LQ,low_confidence,6291456,0.000000,0.000000,0.000000
case3,HYPIR-200,high_confidence,6291456,7.563936,12.230460,2.883795
case3,HYPIR-200,low_confidence,6291456,2.491379,3.791475,1.854889
case3,HYPIR-50,high_confidence,6291456,2.489491,3.898731,0.829862
case3,HYPIR-50,low_confidence,6291456,0.973110,1.349976,0.499590
case3,fixed_50_50,high_confidence,6291456,4.820706,7.758417,1.654404
case3,fixed_50_50,low_confidence,6291456,1.554809,2.308170,0.949110
case3,confidence_200_50,high_confidence,6291456,4.063014,6.906982,1.332052
case3,confidence_200_50,low_confidence,6291456,1.035053,1.471659,0.521142
case3,confidence_200_LQ,high_confidence,6291456,2.622448,5.002485,0.956801
case3,confidence_200_LQ,low_confidence,6291456,0.173689,0.486006,0.137273
case4,LQ,high_confidence,6291456,0.000000,0.000000,0.000000
case4,LQ,low_confidence,6291456,0.000000,0.000000,0.000000
case4,HYPIR-200,high_confidence,6291456,19.581522,30.278446,9.898543
case4,HYPIR-200,low_confidence,6291456,7.607467,14.492041,4.141115
case4,HYPIR-50,high_confidence,6291456,4.163450,5.984360,1.522680
case4,HYPIR-50,low_confidence,6291456,1.806288,2.526142,0.656530
case4,fixed_50_50,high_confidence,6291456,11.330259,17.115608,5.143570
case4,fixed_50_50,low_confidence,6291456,4.449984,7.982650,2.115565
case4,confidence_200_50,high_confidence,6291456,9.610529,14.823183,4.130324
case4,confidence_200_50,low_confidence,6291456,2.802965,4.639527,1.151681
case4,confidence_200_LQ,high_confidence,6291456,7.706812,12.497262,3.645379
case4,confidence_200_LQ,low_confidence,6291456,1.592124,3.325018,0.816715
case5,LQ,high_confidence,6291456,0.000000,0.000000,0.000000
case5,LQ,low_confidence,6291456,0.000000,0.000000,0.000000
case5,HYPIR-200,high_confidence,6291456,14.790026,25.600428,6.127207
case5,HYPIR-200,low_confidence,6291456,2.525669,3.713344,1.803449
case5,HYPIR-50,high_confidence,6291456,7.544889,13.151170,3.319236
case5,HYPIR-50,low_confidence,6291456,1.086196,1.561646,0.507142
case5,fixed_50_50,high_confidence,6291456,10.737879,18.439671,4.435055
case5,fixed_50_50,low_confidence,6291456,1.614070,2.365264,0.932812
case5,confidence_200_50,high_confidence,6291456,9.723114,17.171947,4.055847
case5,confidence_200_50,low_confidence,6291456,1.138275,1.668677,0.525404
case5,confidence_200_LQ,high_confidence,6291456,5.378764,10.495516,2.468705
case5,confidence_200_LQ,low_confidence,6291456,0.193823,0.513088,0.148328
Average,LQ,high_confidence,6291456,0.000000,0.000000,0.000000
Average,LQ,low_confidence,6291455,0.000000,0.000000,0.000000
Average,HYPIR-200,high_confidence,6291456,12.332573,20.521351,5.644851
Average,HYPIR-200,low_confidence,6291455,3.491251,6.017673,2.359256
Average,HYPIR-50,high_confidence,6291456,4.259643,7.025765,1.708144
Average,HYPIR-50,low_confidence,6291455,1.133861,1.627406,0.546920
Average,fixed_50_50,high_confidence,6291456,7.957507,13.149026,3.368990
Average,fixed_50_50,low_confidence,6291455,2.117398,3.509487,1.226423
Average,confidence_200_50,high_confidence,6291456,6.948659,11.902620,2.850692
Average,confidence_200_50,low_confidence,6291455,1.377895,2.165032,0.663126
Average,confidence_200_LQ,high_confidence,6291456,4.588133,8.538658,2.083719
Average,confidence_200_LQ,low_confidence,6291455,0.447678,1.065891,0.266596
