case,method,region,pixels,L1,L2_RMSE,PSNR_equiv,gradient_difference
case1,LQ,high_confidence,6291457,4.709944,8.892104,29.150713,0.991062
case1,LQ,low_confidence,6291455,1.089159,1.563364,44.249602,0.077301
case1,HYPIR-200,high_confidence,6291457,5.967066,11.899323,26.620358,3.117747
case1,HYPIR-200,low_confidence,6291455,2.425009,3.156546,38.146560,2.131720
case1,HYPIR-50,high_confidence,6291457,4.542611,8.737201,29.303357,1.255279
case1,HYPIR-50,low_confidence,6291455,1.284451,1.747461,43.282654,0.518364
case1,fixed_50_50,high_confidence,6291457,4.870199,9.663643,28.427986,1.839693
case1,fixed_50_50,low_confidence,6291455,1.663680,2.180800,41.358486,1.132791
case1,confidence_200_50,high_confidence,6291457,4.766226,9.727928,28.370397,1.558049
case1,confidence_200_50,low_confidence,6291455,1.290921,1.753403,43.253170,0.528401
case1,confidence_200_LQ,high_confidence,6291457,4.646750,9.397731,28.670344,1.281991
case1,confidence_200_LQ,low_confidence,6291455,1.099678,1.571810,44.202805,0.136834
case2,LQ,high_confidence,6291456,9.153861,13.336121,25.630213,3.631239
case2,LQ,low_confidence,6291456,2.989381,4.412299,35.237505,1.872047
case2,HYPIR-200,high_confidence,6291456,12.782162,21.367266,21.535825,5.936241
case2,HYPIR-200,low_confidence,6291456,3.810859,6.024094,32.532969,1.654005
case2,HYPIR-50,high_confidence,6291456,8.311128,12.033690,26.522827,3.602801
case2,HYPIR-50,low_confidence,6291456,3.121716,4.450876,35.161894,1.596834
case2,fixed_50_50,high_confidence,6291456,9.577624,14.898659,24.667860,4.467804
case2,fixed_50_50,low_confidence,6291456,3.280350,4.816761,34.475701,1.515809
case2,confidence_200_50,high_confidence,6291456,8.983053,13.731059,25.376723,4.191096
case2,confidence_200_50,low_confidence,6291456,3.114293,4.450596,35.162439,1.593076
case2,confidence_200_LQ,high_confidence,6291456,8.014556,11.883598,26.631844,3.770623
case2,confidence_200_LQ,low_confidence,6291456,2.943217,4.296227,35.469060,1.809170
case3,LQ,high_confidence,6291456,3.409904,5.794936,32.869831,1.683525
case3,LQ,low_confidence,6291456,0.979196,1.433809,45.000979,0.441727
case3,HYPIR-200,high_confidence,6291456,7.828936,12.340858,26.303896,2.964753
case3,HYPIR-200,low_confidence,6291456,2.767525,4.071880,35.934903,1.753240
case3,HYPIR-50,high_confidence,6291456,4.052838,6.337150,32.092924,1.729145
case3,HYPIR-50,low_confidence,6291456,1.492942,2.005465,42.086502,0.556611
case3,fixed_50_50,high_confidence,6291456,5.546227,8.604014,29.436781,2.120379
case3,fixed_50_50,low_confidence,6291456,1.949003,2.744003,39.363111,0.926261
case3,confidence_200_50,high_confidence,6291456,4.974279,7.945607,30.128262,1.932843
case3,confidence_200_50,low_confidence,6291456,1.541973,2.089879,41.728383,0.572025
case3,confidence_200_LQ,high_confidence,6291456,4.047510,6.725334,31.576526,1.804410
case3,confidence_200_LQ,low_confidence,6291456,1.047906,1.517421,44.508680,0.455948
case4,LQ,high_confidence,6291456,30.041588,38.092575,16.513997,10.873670
case4,LQ,low_confidence,6291456,18.081139,24.157999,20.469584,6.996654
case4,HYPIR-200,high_confidence,6291456,34.046631,47.375164,14.619789,13.153941
case4,HYPIR-200,low_confidence,6291456,19.352552,27.706923,19.279038,7.241659
case4,HYPIR-50,high_confidence,6291456,29.728048,37.986874,16.538133,10.722322
case4,HYPIR-50,low_confidence,6291456,17.918606,24.049713,20.508606,6.799238
case4,fixed_50_50,high_confidence,6291456,30.783607,40.747292,15.928829,10.983283
case4,fixed_50_50,low_confidence,6291456,18.315720,25.071075,20.147344,6.697235
case4,confidence_200_50,high_confidence,6291456,30.362986,39.931747,16.104437,10.765343
case4,confidence_200_50,low_confidence,6291456,17.996830,24.295782,20.420186,6.673658
case4,confidence_200_LQ,high_confidence,6291456,30.235117,39.456646,16.208400,10.715119
case4,confidence_200_LQ,low_confidence,6291456,18.064602,24.268093,20.430091,6.770598
case5,LQ,high_confidence,6291456,11.268658,17.024940,23.509092,3.316430
case5,LQ,low_confidence,6291456,3.161459,4.090655,35.894947,0.365002
case5,HYPIR-200,high_confidence,6291456,13.179784,22.514812,21.081437,5.363484
case5,HYPIR-200,low_confidence,6291456,3.822937,5.083286,34.007913,1.887579
case5,HYPIR-50,high_confidence,6291456,9.754405,14.849990,24.696280,2.952739
case5,HYPIR-50,low_confidence,6291456,3.182405,4.051631,35.978205,0.577471
case5,fixed_50_50,high_confidence,6291456,10.589893,17.016941,23.513174,3.775023
case5,fixed_50_50,low_confidence,6291456,3.343572,4.313786,35.433633,1.002177
case5,confidence_200_50,high_confidence,6291456,10.204803,16.239084,23.919573,3.449290
case5,confidence_200_50,low_confidence,6291456,3.190947,4.065729,35.948036,0.590801
case5,confidence_200_LQ,high_confidence,6291456,9.843713,14.880679,24.678349,3.117404
case5,confidence_200_LQ,low_confidence,6291456,3.147841,4.054705,35.971619,0.398869
Average,LQ,high_confidence,6291456,11.716791,16.628135,25.534769,4.099185
Average,LQ,low_confidence,6291455,5.260067,7.131625,36.170523,1.950546
Average,HYPIR-200,high_confidence,6291456,14.760916,23.099485,22.032261,6.107233
Average,HYPIR-200,low_confidence,6291455,6.435776,9.208546,31.980277,2.933641
Average,HYPIR-50,high_confidence,6291456,11.277806,15.988981,25.830704,4.052457
Average,HYPIR-50,low_confidence,6291455,5.400024,7.261029,35.403572,2.009704
Average,fixed_50_50,high_confidence,6291456,12.273510,18.186110,24.394926,4.637236
Average,fixed_50_50,low_confidence,6291455,5.710465,7.825285,34.155655,2.254855
Average,confidence_200_50,high_confidence,6291456,11.858269,17.515085,24.779878,4.379324
Average,confidence_200_50,low_confidence,6291455,5.426993,7.331078,35.302443,1.991592
Average,confidence_200_LQ,high_confidence,6291456,11.357529,16.468798,25.553093,4.137909
Average,confidence_200_LQ,low_confidence,6291455,5.260649,7.141651,36.116451,1.914284
