case,patch_id,stratum,x0,y0,x1,y1,error_type,structure_preserved,new_object,plant_morphology,confidence,notes,psnr_lq,psnr_h50,psnr_h200,ssim_lq,ssim_h50,ssim_h200,lpips_lq,lpips_h50,lpips_h200,dpsnr_h50,dpsnr_h200,dssim_h50,dssim_h200,dlpips_h50,dlpips_h200
case4,low01,low,256,512,512,768,N,Y,N,uncertain,2,H200 nearly still mush; little new structure,21.920924,21.935252,21.598416,0.456132,0.456548,0.440264,0.746921,0.733097,0.706870,0.014328,-0.322508,0.000416,-0.015868,-0.013824,-0.040051
case4,low02,low,512,512,768,768,A,N,N,different,2,one large simple leaf vs GT branch+compound,20.717522,20.749087,20.434885,0.407241,0.405676,0.378407,0.760480,0.724818,0.620581,0.031565,-0.282637,-0.001565,-0.028834,-0.035662,-0.139899
case4,low03,low,1792,768,2048,1024,A,N,N,different,2,serrated leaves + web-like artifact; GT different canopy,19.865470,19.909700,16.870160,0.357489,0.355326,0.269062,0.764062,0.710847,0.595471,0.044230,-2.995310,-0.002163,-0.088427,-0.053215,-0.168591
case4,low04,low,2304,1024,2560,1280,A,N,N,different,2,large leaves; GT thick branch missing,19.510443,19.516822,17.031960,0.393140,0.390676,0.323938,0.758816,0.632387,0.473406,0.006379,-2.478483,-0.002464,-0.069202,-0.126429,-0.285410
case4,low05,low,3072,1280,3328,1536,A,N,N,different,2,muddy leaves; GT yellow flowers visible,19.078716,19.132794,18.431722,0.388891,0.392696,0.375211,0.762921,0.700885,0.598259,0.054078,-0.646994,0.003805,-0.013680,-0.062036,-0.164662
case4,low06,low,3072,2304,3328,2560,A,N,N,different,2,large simple leaves vs GT compound+branch,20.718392,20.751222,19.984811,0.402524,0.400784,0.362397,0.788286,0.741164,0.591389,0.032830,-0.733581,-0.001740,-0.040127,-0.047122,-0.196897
case4,low07,low,3840,2560,4096,2816,B,Y,N,uncertain,2,pink pods in similar places; leaf type/texture differ; web on pod,18.983068,19.080294,17.559404,0.370498,0.368287,0.298094,0.764114,0.667036,0.543857,0.097226,-1.423664,-0.002211,-0.072404,-0.097078,-0.220257
case4,low08,low,512,2816,768,3072,A,N,N,different,2,palmate-like large leaves vs GT pinnate compound,21.943205,21.984481,20.854596,0.463118,0.460763,0.400231,0.773636,0.722080,0.515002,0.041276,-1.088609,-0.002355,-0.062887,-0.051556,-0.258634
case4,mid01,mid,1280,0,1536,256,A,N,N,different,3,broad textured blades vs GT smaller compound leaflets,18.347084,18.415725,17.201919,0.272255,0.275241,0.224639,0.817323,0.773215,0.636162,0.068641,-1.145165,0.002986,-0.047616,-0.044108,-0.181161
case4,mid02,mid,1536,0,1792,256,A,N,N,different,3,round large leaves vs GT compound + dark branch,19.522811,19.540542,17.668520,0.301082,0.298071,0.215820,0.810093,0.762237,0.634315,0.017731,-1.854291,-0.003011,-0.085262,-0.047856,-0.175778
case4,mid03,mid,2048,256,2304,512,A,N,N,different,2,large simple leaves vs GT compound with branch,17.997386,18.033998,16.997741,0.276615,0.277336,0.230929,0.801731,0.753972,0.584569,0.036612,-0.999645,0.000721,-0.045686,-0.047759,-0.217162
case4,mid04,mid,2816,1024,3072,1280,D,N,Y,n/a,3,pink pod blob turned into a fish head with an eye,17.363308,17.385224,15.766494,0.272106,0.267149,0.192691,0.809441,0.729651,0.567107,0.021916,-1.596814,-0.004957,-0.079415,-0.079790,-0.242334
case4,mid05,mid,1280,1280,1536,1536,A,N,N,different,2,large leaves and sky holes vs GT smaller compound,18.451605,18.431277,16.220687,0.307325,0.305121,0.227056,0.834004,0.755404,0.615830,-0.020328,-2.230918,-0.002204,-0.080269,-0.078600,-0.218174
case4,mid06,mid,1792,1536,2048,1792,B,Y,N,uncertain,2,closest compound-like match; scale/edges still differ,19.638448,19.691501,17.938609,0.359484,0.358546,0.287099,0.804461,0.725097,0.484958,0.053053,-1.699839,-0.000938,-0.072385,-0.079364,-0.319503
case4,mid07,mid,2816,1536,3072,1792,A,N,N,different,2,yellow spike vs GT panicle+pod; unique tiny +L1 in this sample,18.376202,18.467378,18.081064,0.341703,0.350411,0.351531,0.770355,0.720208,0.655519,0.091176,-0.295138,0.008708,0.009828,-0.050147,-0.114836
case4,mid08,mid,512,1792,768,2048,A,N,N,different,2,large simple leaves vs GT compound; sky gaps similar,15.840971,15.833254,14.063268,0.259756,0.267348,0.218687,0.815549,0.663410,0.524023,-0.007717,-1.777703,0.007592,-0.041069,-0.152139,-0.291526
case4,high01,high,3584,256,3840,512,A,N,N,different,3,pods roughly placed; yellow flowers gone; serrated leaves,14.754507,14.741629,13.165287,0.181058,0.182385,0.121354,0.803513,0.675598,0.547604,-0.012878,-1.589220,0.001327,-0.059704,-0.127915,-0.255909
case4,high02,high,3072,768,3328,1024,A,N,N,different,3,GT compound+yellow raceme vs H200 large serrated simple leaves,17.313852,17.387743,16.189803,0.263657,0.267356,0.209626,0.797852,0.727457,0.567648,0.073891,-1.124049,0.003699,-0.054031,-0.070395,-0.230204
case4,high03,high,3840,768,4096,1024,A,N,N,different,3,GT compound+lantern vs H200 simple leaves + rose-like bloom,15.733017,15.738543,14.843890,0.167243,0.166102,0.123779,0.802423,0.709233,0.503820,0.005526,-0.889127,-0.001141,-0.043464,-0.093190,-0.298603
case4,high04,high,256,1280,512,1536,A,N,N,different,3,GT pinnate rachis vs H200 large serrated blades,17.393995,17.400036,14.453894,0.233528,0.228187,0.146814,0.817567,0.708350,0.556030,0.006041,-2.940101,-0.005341,-0.086714,-0.109217,-0.261537
case4,high05,high,3840,1536,4096,1792,B,Y,N,uncertain,2,diagonal compound arrangement similar at 1/4; edges/veins differ,17.926821,17.957209,15.476359,0.289047,0.284771,0.138272,0.800771,0.713766,0.549297,0.030388,-2.450462,-0.004276,-0.150775,-0.087005,-0.251474
case4,high06,high,2560,1792,2816,2048,A,N,N,different,3,H200 catkin+burr vs GT flower panicle + lantern pods,16.033532,16.070491,14.759171,0.202244,0.205667,0.185470,0.827794,0.782586,0.734234,0.036959,-1.274361,0.003423,-0.016774,-0.045208,-0.093560
