case,scale,factor,method,PSNR,SSIM,width,height
case1,1x,1,LQ,32.02880115050813,0.9484534925060527,4096,3072
case1,1x,1,H50,32.143319382517326,0.945299621023851,4096,3072
case1,1x,1,H200,29.335322996113593,0.8466338742572804,4096,3072
case1,1x,1,GT,inf,1.0,4096,3072
case1,1/2,2,LQ,32.0719864771833,0.9422450337414339,2048,1536
case1,1/2,2,H50,32.28352205141914,0.9485015995913137,2048,1536
case1,1/2,2,H200,30.432196657155526,0.9256953649343905,2048,1536
case1,1/2,2,GT,inf,1.0,2048,1536
case1,1/4,4,LQ,32.40051451660242,0.9497238639243015,1024,768
case1,1/4,4,H50,32.674260034288054,0.9556213771967403,1024,768
case1,1/4,4,H200,31.553595931518217,0.9506911376707757,1024,768
case1,1/4,4,GT,inf,1.0,1024,768
case1,1/8,8,LQ,33.96108707122427,0.9630212701239317,512,384
case1,1/8,8,H50,34.2002445633402,0.9648478400614011,512,384
case1,1/8,8,H200,33.61798506203292,0.9636437048937104,512,384
case1,1/8,8,GT,inf,1.0,512,384
case1,1/16,16,LQ,36.77322946601012,0.9719550242878713,256,192
case1,1/16,16,H50,36.80607944484088,0.9716253686348302,256,192
case1,1/16,16,H200,36.4230488430766,0.9701218937243219,256,192
case1,1/16,16,GT,inf,1.0,256,192
case2,1x,1,LQ,28.189381483210912,0.8314434530123741,3072,4096
case2,1x,1,H50,28.976277513743995,0.825431602031394,3072,4096
case2,1x,1,H200,24.213957929319086,0.7310454053753274,3072,4096
case2,1x,1,GT,inf,1.0,3072,4096
case2,1/2,2,LQ,28.56457251278475,0.8531896964763565,1536,2048
case2,1/2,2,H50,29.605780811798805,0.858676559927494,1536,2048
case2,1/2,2,H200,25.309392434461266,0.8026703281210058,1536,2048
case2,1/2,2,GT,inf,1.0,1536,2048
case2,1/4,4,LQ,29.565297001852645,0.9025696623352867,768,1024
case2,1/4,4,H50,30.948065619151354,0.9134365235205252,768,1024
case2,1/4,4,H200,27.350494385511755,0.8835291409506837,768,1024
case2,1/4,4,GT,inf,1.0,768,1024
case2,1/8,8,LQ,31.924605659254087,0.9494537267025462,384,512
case2,1/8,8,H50,33.370297953213004,0.9581586879825044,384,512
case2,1/8,8,H200,31.307765303591346,0.9479560351624382,384,512
case2,1/8,8,GT,inf,1.0,384,512
case2,1/16,16,LQ,36.759457645776656,0.9835148419220471,192,256
case2,1/16,16,H50,37.553769967855615,0.9857141765377609,192,256
case2,1/16,16,H200,36.76633809695478,0.982984019369301,192,256
case2,1/16,16,GT,inf,1.0,192,256
case3,1x,1,LQ,35.62208169890386,0.9349582905866827,4096,3072
case3,1x,1,H50,34.68871254049464,0.9204121592601275,4096,3072
case3,1x,1,H200,28.865398205920037,0.8120966176183972,4096,3072
case3,1x,1,GT,inf,1.0,4096,3072
case3,1/2,2,LQ,36.628532061623325,0.9434335843308562,2048,1536
case3,1/2,2,H50,35.65792969640092,0.9354751023937676,2048,1536
case3,1/2,2,H200,29.776759771350015,0.8575611231254058,2048,1536
case3,1/2,2,GT,inf,1.0,2048,1536
case3,1/4,4,LQ,38.281784225305685,0.9663034066779342,1024,768
case3,1/4,4,H50,37.053545429961574,0.9590458505281368,1024,768
case3,1/4,4,H200,30.846288495881936,0.8919370318007402,1024,768
case3,1/4,4,GT,inf,1.0,1024,768
case3,1/8,8,LQ,41.73042939680445,0.9871040249699763,512,384
case3,1/8,8,H50,39.53262552763283,0.9806650228459758,512,384
case3,1/8,8,H200,32.93638499649219,0.9345737876066025,512,384
case3,1/8,8,GT,inf,1.0,512,384
