case,alpha,method,change_l1_vs_lq,PSNR,SSIM,LPIPS_1024
case1,0.0,blend_0.0,0.0,32.02880115050813,0.9484534925060527,0.07879389822483063
case1,0.1,blend_0.1,0.24507413804531097,32.149078234233066,0.949136847459302,0.07572630792856216
case1,0.2,blend_0.2,0.6653869152069092,32.16072499023038,0.9460051177968521,0.07146964967250824
case1,0.3,blend_0.3,1.099923849105835,32.058413171118254,0.9400335453736256,0.06593790650367737
case1,0.4,blend_0.4,1.400564193725586,31.858216385636744,0.9327527865672643,0.06144231557846069
case1,0.5,blend_0.5,1.8305140733718872,31.557763947757213,0.9217200243040291,0.05875401198863983
case1,0.6,blend_0.6,2.259463310241699,31.192059029083698,0.9098763795377619,0.058358289301395416
case1,0.7,blend_0.7,2.560701847076416,30.775752572606958,0.8971429744070258,0.059627968817949295
case1,0.8,blend_0.8,2.994640350341797,30.306973396063658,0.8800603981412487,0.06241469085216522
case1,0.9,blend_0.9,3.413174629211426,29.802401436519542,0.8589795188208941,0.06671375036239624
case1,1.0,blend_1.0,3.660027503967285,29.335322996113593,0.8466338742572804,0.07111237198114395
case1,,H50,1.3529225587844849,32.143319382517326,0.945299621023851,0.06465932726860046
case2,0.0,blend_0.0,0.0,28.189381483210912,0.8314434530123741,0.10302705317735672
case2,0.1,blend_0.1,0.7758846282958984,28.84860382635056,0.8374742291646831,0.08602085709571838
case2,0.2,blend_0.2,1.670068383216858,29.254963700912064,0.8370639292934654,0.07528873533010483
case2,0.3,blend_0.3,2.583470582962036,29.320232117848143,0.8318008693338504,0.0705375000834465
case2,0.4,blend_0.4,3.3960747718811035,29.034824805806334,0.823611958485008,0.07018089294433594
case2,0.5,blend_0.5,4.309865474700928,28.453015691684445,0.8117204457564388,0.07330474257469177
case2,0.6,blend_0.6,5.223456382751465,27.68568739091964,0.7984854151605058,0.07846049964427948
case2,0.7,blend_0.7,6.036005020141602,26.825115144325018,0.7839330829620703,0.0850779265165329
case2,0.8,blend_0.8,6.949462890625,25.93201569226625,0.7663789988367498,0.0924902856349945
case2,0.9,blend_0.9,7.84196138381958,25.05138042982655,0.7469135702717731,0.1002601608633995
case2,1.0,blend_1.0,8.61953067779541,24.213957929319086,0.7310454053753274,0.10883545130491257
case2,,H50,3.0991265773773193,28.976277513743995,0.825431602031394,0.07946156710386276
case3,0.0,blend_0.0,0.0,35.62208169890386,0.9349582905866827,0.05836664140224457
case3,0.1,blend_0.1,0.4069506525993347,35.7887011310099,0.9345680272791906,0.05466998368501663
case3,0.2,blend_0.2,0.9501364827156067,35.555202665197754,0.9294103458757519,0.05867116153240204
case3,0.3,blend_0.3,1.5085508823394775,34.97169198518546,0.920490585987635,0.06900541484355927
