crop,seed,PSNR,L1_vs_GT
high02,231,16.189803278157488,28.42806053161621
high02,17,16.200285827938462,28.4078426361084
high02,89,16.20583499972952,28.37162208557129
high02,401,16.18999064877366,28.44000244140625
high06,231,14.75917136934382,35.13285446166992
high06,17,14.750580327190807,35.16447830200195
high06,89,14.756111041300946,35.147064208984375
high06,401,14.758505990829946,35.13199996948242
mid04,231,15.766493962886802,30.32880210876465
mid04,17,15.77716720291297,30.307031631469727
mid04,89,15.763132707017535,30.330978393554688
mid04,401,15.756015866634229,30.37510108947754
high04,231,14.453894327329833,33.92912673950195
high04,17,14.445442858380153,33.95753479003906
high04,89,14.43807842282739,33.98160171508789
high04,401,14.453395303532544,33.934322357177734
