case,x0,y0,x1,y1,stratum,lq_gt_gradient_difference,psnr_lq,psnr_h50,psnr_h200,ssim_lq,ssim_h50,ssim_h200,lpips_lq,lpips_h50,lpips_h200
case1,0,0,256,256,high,1.176514,27.879531,27.706676,25.149977,0.900186,0.897563,0.827537,0.125013,0.171511,0.368650
case1,256,0,512,256,high,1.349030,27.608689,26.336082,22.560421,0.884520,0.881238,0.820074,0.118823,0.176231,0.354122
case1,512,0,768,256,high,1.357732,27.968350,26.758335,22.991034,0.891243,0.889270,0.826093,0.117775,0.180309,0.379893
case1,768,0,1024,256,high,1.319702,27.799071,27.983959,25.348068,0.889047,0.889875,0.808580,0.114885,0.159839,0.415111
case1,1024,0,1280,256,high,1.275716,28.636645,28.703003,26.351372,0.902190,0.902613,0.824743,0.094924,0.141446,0.385227
case1,1280,0,1536,256,high,1.223551,28.739891,28.746849,26.688272,0.903938,0.901243,0.822894,0.122923,0.165582,0.422491
case1,1536,0,1792,256,high,0.841390,29.479330,29.379786,27.138985,0.924053,0.919440,0.848459,0.081585,0.137045,0.380836
case1,1792,0,2048,256,mid,0.387909,34.245981,33.920450,30.295408,0.966443,0.960559,0.855830,0.039167,0.081354,0.390542
case1,2048,0,2304,256,mid,0.158218,39.931195,41.149807,36.246399,0.993696,0.986124,0.836589,0.032096,0.079895,0.459186
case1,2304,0,2560,256,mid,0.120789,38.734475,39.360127,35.589294,0.995331,0.986870,0.837357,0.028948,0.070440,0.432154
case1,2560,0,2816,256,mid,0.173238,38.118757,36.223658,30.413494,0.992987,0.983545,0.828338,0.032535,0.092312,0.438810
case1,2816,0,3072,256,low,0.111272,41.514557,41.770195,36.399883,0.996257,0.986474,0.834901,0.016787,0.074787,0.458769
case1,3072,0,3328,256,low,0.099157,39.260081,39.743825,35.490188,0.995450,0.986054,0.825156,0.027781,0.077957,0.493532
case1,3328,0,3584,256,low,0.096537,39.653447,39.925468,35.441376,0.996511,0.985848,0.821992,0.019152,0.079577,0.495727
case1,3584,0,3840,256,low,0.088760,40.806131,40.944072,35.867983,0.996266,0.986013,0.823385,0.019213,0.076566,0.498337
case1,3840,0,4096,256,low,0.052668,42.570110,42.323604,36.711979,0.998118,0.987584,0.843725,0.010628,0.056073,0.450987
case1,0,256,256,512,high,1.334844,28.541138,28.700704,25.450283,0.885329,0.889171,0.803477,0.113739,0.159250,0.392332
case1,256,256,512,512,high,1.334051,27.399509,27.111868,23.190370,0.878611,0.885042,0.788507,0.126135,0.184471,0.411710
case1,512,256,768,512,high,1.601634,26.513151,25.068549,20.775096,0.857980,0.849492,0.747450,0.132625,0.204647,0.426490
case1,768,256,1024,512,high,1.073873,29.276836,29.614440,26.575161,0.912552,0.912227,0.825534,0.086988,0.153278,0.353887
case1,1024,256,1280,512,high,1.119324,29.858602,30.209504,27.961498,0.909382,0.914182,0.852304,0.102449,0.144228,0.315126
case1,1280,256,1536,512,mid,0.597361,32.878234,33.141534,30.973794,0.951301,0.949036,0.888828,0.083346,0.119428,0.322546
case1,1536,256,1792,512,mid,0.346649,34.573126,35.125586,33.275459,0.975967,0.969057,0.906101,0.036840,0.074898,0.327687
case1,1792,256,2048,512,low,0.098318,43.253600,44.116642,38.994782,0.996690,0.988105,0.907794,0.017095,0.050855,0.343313
case1,2048,256,2304,512,low,0.091202,42.490156,42.990282,37.558546,0.996509,0.987065,0.876206,0.017384,0.065534,0.410836
case1,2304,256,2560,512,low,0.089315,42.352149,43.022232,37.789584,0.996935,0.987532,0.883440,0.010325,0.057802,0.383416
case1,2560,256,2816,512,low,0.080210,41.166603,42.026317,37.555331,0.997190,0.988737,0.886400,0.014837,0.055126,0.356434
case1,2816,256,3072,512,low,0.091085,42.282206,43.002662,38.025555,0.996365,0.987799,0.886239,0.021198,0.059706,0.377998
case1,3072,256,3328,512,low,0.078186,43.323215,43.642235,37.921893,0.997381,0.987905,0.883130,0.018077,0.058583,0.388465
case1,3328,256,3584,512,low,0.110199,42.701694,43.156783,37.791021,0.995936,0.986762,0.881191,0.018124,0.066544,0.404844
case1,3584,256,3840,512,mid,0.122406,43.338122,43.792159,37.915882,0.995659,0.986168,0.877578,0.018354,0.063893,0.422404
case1,3840,256,4096,512,mid,0.119853,44.204923,43.857718,38.002559,0.995313,0.985774,0.881012,0.022913,0.062579,0.411870
