case,stratum,n,psnr_lq,psnr_h50,psnr_h200,ssim_lq,ssim_h50,ssim_h200,lpips_lq,lpips_h50,lpips_h200,dpsnr_h50,dpsnr_h200,dssim_h50,dssim_h200,dlpips_h50,dlpips_h200
Average,all,960,30.566634,30.178708,26.249700,0.777773,0.776992,0.685069,0.322441,0.304195,0.420105,-0.387926,-4.316934,-0.000780,-0.092704,-0.018246,0.097664
case1,all,192,37.425571,36.767421,32.762274,0.948572,0.945382,0.846726,0.061059,0.112119,0.395602,-0.658150,-4.663297,-0.003190,-0.101846,0.051060,0.334543
case1,high,64,28.134282,28.335458,25.813710,0.869996,0.875696,0.780398,0.133526,0.191252,0.437855,0.201177,-2.320572,0.005699,-0.089598,0.057727,0.304329
case1,low,64,45.458312,43.890946,37.854393,0.997125,0.988214,0.871695,0.012795,0.062266,0.387986,-1.567366,-7.603918,-0.008911,-0.125431,0.049471,0.375191
case1,mid,64,38.684119,38.075858,34.618718,0.978595,0.972236,0.888086,0.036857,0.082840,0.360965,-0.608262,-4.065401,-0.006359,-0.090508,0.045983,0.324108
case2,all,192,29.130005,29.682750,25.297300,0.831454,0.825437,0.731148,0.348041,0.305755,0.344116,0.552745,-3.832705,-0.006018,-0.100307,-0.042286,-0.003926
case2,high,64,26.552647,27.417529,23.962615,0.780348,0.777725,0.658799,0.379498,0.322416,0.363350,0.864882,-2.590032,-0.002623,-0.121549,-0.057082,-0.016148
case2,low,64,31.949327,32.055179,26.254154,0.888770,0.879438,0.804029,0.296993,0.263889,0.312065,0.105852,-5.695173,-0.009331,-0.084741,-0.033103,0.015072
case2,mid,64,28.888041,29.575542,25.675130,0.825245,0.819146,0.730614,0.367633,0.330960,0.356932,0.687501,-3.212911,-0.006099,-0.094631,-0.036672,-0.010701
case3,all,192,40.395822,37.559328,31.462661,0.934888,0.920389,0.812312,0.154185,0.174394,0.373750,-2.836494,-8.933160,-0.014499,-0.122576,0.020209,0.219565
case3,high,64,32.130141,31.574276,26.516441,0.838895,0.827839,0.719479,0.322040,0.286737,0.348350,-0.555866,-5.613700,-0.011056,-0.119416,-0.035303,0.026310
case3,low,64,46.515335,42.471130,36.381723,0.988841,0.975582,0.878410,0.051141,0.105450,0.392529,-4.044205,-10.133611,-0.013259,-0.110431,0.054309,0.341388
case3,mid,64,42.541989,38.632577,31.489819,0.976929,0.957747,0.839047,0.089374,0.130995,0.380371,-3.909412,-11.052170,-0.019182,-0.137882,0.041620,0.290997
case4,all,192,18.380029,18.411878,16.744015,0.309338,0.310396,0.257622,0.799223,0.714218,0.571349,0.031849,-1.636014,0.001058,-0.051716,-0.085006,-0.227874
case4,high,64,16.691328,16.715240,15.081411,0.226930,0.227324,0.172281,0.826014,0.731627,0.571237,0.023912,-1.609917,0.000393,-0.054649,-0.094387,-0.254777
case4,low,64,20.044830,20.087073,18.410158,0.392523,0.393784,0.342455,0.771962,0.696609,0.569927,0.042242,-1.634672,0.001261,-0.050068,-0.075353,-0.202035
case4,mid,64,18.403930,18.433322,16.740477,0.308561,0.310080,0.258129,0.799694,0.714417,0.572884,0.029392,-1.663453,0.001519,-0.050432,-0.085277,-0.226810
case5,all,192,27.501744,28.472166,24.982251,0.864610,0.883359,0.777536,0.249697,0.214488,0.415709,0.970422,-2.519493,0.018748,-0.087074,-0.035209,0.166012
case5,high,64,24.345751,25.643008,22.566363,0.799779,0.833445,0.728730,0.364033,0.258277,0.425317,1.297256,-1.779388,0.033667,-0.071049,-0.105756,0.061284
case5,low,64,31.480657,32.065469,28.304539,0.927038,0.930424,0.823959,0.142341,0.161197,0.396824,0.584812,-3.176118,0.003386,-0.103079,0.018856,0.254482
case5,mid,64,26.678824,27.708021,24.075851,0.867014,0.886206,0.779918,0.242717,0.223991,0.424985,1.029197,-2.602973,0.019193,-0.087095,-0.018726,0.182268
