case,method,PSNR,SSIM,LPIPS_1024,LPIPS_native_coeff
case1,LQ,32.028801,0.948453,0.078794,0.072517
case1,H50,32.143319,0.9453,0.064659,0.135358
case1,H200,29.335323,0.846634,0.071112,0.452658
case2,LQ,28.189381,0.831443,0.103027,0.373972
case2,H50,28.976278,0.825432,0.079462,0.33181
case2,H200,24.213958,0.731045,0.108835,0.374753
case3,LQ,35.622082,0.934958,0.058367,0.170643
case3,H50,34.688713,0.920412,0.074223,0.198108
case3,H200,28.865398,0.812097,0.169974,0.405851
case4,LQ,18.056199,0.309323,0.654342,0.879949
case4,H50,18.084599,0.31038,0.54348,0.785311
case4,H200,16.352439,0.257605,0.376833,0.626074
case5,LQ,26.275637,0.864316,0.127044,0.285579
case5,H50,27.394758,0.883153,0.048371,0.244238
case5,H200,23.875816,0.777249,0.071578,0.445688
