case,scene,alpha,method,PSNR,SSIM,LPIPS_Alex,Delta_PSNR_vs_LQ,Delta_SSIM_vs_LQ,Delta_LPIPS_vs_LQ,mean_mask,suppressed_frac
case1,text,0.2500,LQ,32.028801,0.948453,0.078818,0.000000,0.000000,0.000000,0.276499,0.544998
case1,text,0.2500,HYPIR-50,32.143319,0.945300,0.064668,0.114518,-0.003154,-0.014150,0.276499,0.544998
case1,text,0.2500,HYPIR-200,29.335323,0.846634,0.071107,-2.693478,-0.101820,-0.007712,0.276499,0.544998
case1,text,0.2500,fusion_A,32.174384,0.949733,0.072710,0.145583,0.001280,-0.006108,0.276499,0.544998
case1,text,0.2500,fusion_B,32.125805,0.946305,0.058466,0.097004,-0.002149,-0.020352,0.276499,0.544998
case1,text,0.2500,texture_selective_h200,32.154456,0.949652,0.067331,0.125654,0.001199,-0.011488,0.276499,0.544998
case2,book,0.3000,LQ,28.189381,0.831443,0.103031,0.000000,0.000000,0.000000,0.592013,0.017825
case2,book,0.3000,HYPIR-50,28.976278,0.825432,0.079454,0.786896,-0.006012,-0.023577,0.592013,0.017825
case2,book,0.3000,HYPIR-200,24.213958,0.731045,0.108812,-3.975424,-0.100398,0.005782,0.592013,0.017825
case2,book,0.3000,fusion_A,29.204470,0.838557,0.080829,1.015088,0.007114,-0.022202,0.592013,0.017825
case2,book,0.3000,fusion_B,29.034315,0.828969,0.075210,0.844934,-0.002474,-0.027820,0.592013,0.017825
case2,book,0.3000,texture_selective_h200,29.241406,0.838088,0.079297,1.052024,0.006644,-0.023733,0.592013,0.017825
case3,bird,0.1200,LQ,35.622082,0.934958,0.058362,0.000000,0.000000,0.000000,0.631060,0.027737
case3,bird,0.1200,HYPIR-50,34.688713,0.920412,0.074221,-0.933369,-0.014546,0.015859,0.631060,0.027737
case3,bird,0.1200,HYPIR-200,28.865398,0.812097,0.169986,-6.756683,-0.122862,0.111624,0.631060,0.027737
case3,bird,0.1200,fusion_A,35.742860,0.934929,0.055572,0.120779,-0.000029,-0.002790,0.631060,0.027737
case3,bird,0.1200,fusion_B,34.715472,0.924049,0.071518,-0.906609,-0.010910,0.013156,0.631060,0.027737
case3,bird,0.1200,texture_selective_h200,35.630109,0.932953,0.056101,0.008027,-0.002005,-0.002261,0.631060,0.027737
case4,plant,0.0800,LQ,18.056199,0.309323,0.654324,0.000000,0.000000,0.000000,0.480391,0.063569
case4,plant,0.0800,HYPIR-50,18.084599,0.310380,0.543474,0.028400,0.001057,-0.110850,0.480391,0.063569
case4,plant,0.0800,HYPIR-200,16.352439,0.257605,0.376841,-1.703761,-0.051718,-0.277482,0.480391,0.063569
case4,plant,0.0800,fusion_A,18.063578,0.309831,0.640015,0.007379,0.000508,-0.014309,0.480391,0.063569
case4,plant,0.0800,fusion_B,18.069606,0.309695,0.530085,0.013407,0.000372,-0.124239,0.480391,0.063569
case4,plant,0.0800,texture_selective_h200,18.019865,0.306790,0.536617,-0.036334,-0.002533,-0.117707,0.480391,0.063569
case5,clock,0.3000,LQ,26.275637,0.864316,0.127053,0.000000,0.000000,0.000000,0.556084,0.047936
case5,clock,0.3000,HYPIR-50,27.394758,0.883153,0.048376,1.119121,0.018837,-0.078677,0.556084,0.047936
case5,clock,0.3000,HYPIR-200,23.875816,0.777249,0.071574,-2.399821,-0.087067,-0.055480,0.556084,0.047936
case5,clock,0.3000,fusion_A,27.116744,0.875299,0.093797,0.841108,0.010983,-0.033256,0.556084,0.047936
case5,clock,0.3000,fusion_B,27.335653,0.883949,0.046546,1.060017,0.019632,-0.080507,0.556084,0.047936
case5,clock,0.3000,texture_selective_h200,27.355563,0.879620,0.083397,1.079927,0.015304,-0.043657,0.556084,0.047936
Average,,,LQ,28.034420,0.777699,0.204318,0.000000,0.000000,0.000000,,
Average,,,HYPIR-50,28.257533,0.776935,0.162039,0.223113,-0.000764,-0.042279,,
Average,,,HYPIR-200,24.528587,0.684926,0.159664,-3.505833,-0.092773,-0.044654,,
Average,,,fusion_A,28.460407,0.781670,0.188585,0.425987,0.003971,-0.015733,,
Average,,,fusion_B,28.256170,0.778593,0.156365,0.221750,0.000894,-0.047953,,
Average,,,texture_selective_h200,28.480280,0.781421,0.164548,0.445860,0.003722,-0.039769,,
