case,crop,method,PSNR,SSIM,mean_struct,mean_conf,mean_final_conf,mean_final_conf2
case3,low02_water,LQ,46.641469,0.988699,0.611778,0.911084,0.564893,0.523236
case3,low02_water,H200,34.484721,0.845169,0.611778,0.911084,0.564893,0.523236
case3,low02_water,A_struct,46.076891,0.987804,0.611778,0.911084,0.564893,0.523236
case3,low02_water,A_conf05,46.134634,0.987959,0.611778,0.911084,0.564893,0.523236
case3,low02_water,A_conf,46.185159,0.988090,0.611778,0.911084,0.564893,0.523236
case3,low02_water,A_conf2,46.278900,0.988306,0.611778,0.911084,0.564893,0.523236
case3,low02_water,B_struct,42.263488,0.976657,0.611778,0.911084,0.564893,0.523236
case3,low02_water,B_conf,42.326029,0.976875,0.611778,0.911084,0.564893,0.523236
case3,mid02_mud,LQ,45.414703,0.984778,0.539638,0.844501,0.461850,0.398553
case3,mid02_mud,H200,31.507242,0.789745,0.539638,0.844501,0.461850,0.398553
case3,mid02_mud,A_struct,44.654435,0.982990,0.539638,0.844501,0.461850,0.398553
case3,mid02_mud,A_conf05,44.782364,0.983227,0.539638,0.844501,0.461850,0.398553
case3,mid02_mud,A_conf,44.920047,0.983539,0.539638,0.844501,0.461850,0.398553
case3,mid02_mud,A_conf2,45.110046,0.984076,0.539638,0.844501,0.461850,0.398553
case3,mid02_mud,B_struct,39.481514,0.967071,0.539638,0.844501,0.461850,0.398553
case3,mid02_mud,B_conf,39.674027,0.967974,0.539638,0.844501,0.461850,0.398553
case4,mid04_fish,LQ,17.363308,0.272106,0.520175,0.685812,0.366678,0.288241
case4,mid04_fish,H200,15.766494,0.192691,0.520175,0.685812,0.366678,0.288241
case4,mid04_fish,A_struct,17.375132,0.272485,0.520175,0.685812,0.366678,0.288241
case4,mid04_fish,A_conf05,17.372500,0.272635,0.520175,0.685812,0.366678,0.288241
case4,mid04_fish,A_conf,17.367855,0.272306,0.520175,0.685812,0.366678,0.288241
case4,mid04_fish,A_conf2,17.363407,0.272034,0.520175,0.685812,0.366678,0.288241
case4,mid04_fish,B_struct,17.380843,0.266783,0.520175,0.685812,0.366678,0.288241
case4,mid04_fish,B_conf,17.384993,0.267226,0.520175,0.685812,0.366678,0.288241
case4,high02_leaf,LQ,17.313852,0.263657,0.494380,0.721412,0.369826,0.296190
case4,high02_leaf,H200,16.189803,0.209626,0.494380,0.721412,0.369826,0.296190
case4,high02_leaf,A_struct,17.328446,0.264509,0.494380,0.721412,0.369826,0.296190
case4,high02_leaf,A_conf05,17.323291,0.264315,0.494380,0.721412,0.369826,0.296190
case4,high02_leaf,A_conf,17.317996,0.264006,0.494380,0.721412,0.369826,0.296190
case4,high02_leaf,A_conf2,17.315606,0.263779,0.494380,0.721412,0.369826,0.296190
case4,high02_leaf,B_struct,17.376739,0.267252,0.494380,0.721412,0.369826,0.296190
case4,high02_leaf,B_conf,17.376552,0.267064,0.494380,0.721412,0.369826,0.296190
