case,scene,alpha,method,PSNR,SSIM,LPIPS_Alex,Delta_PSNR_vs_LQ,Delta_SSIM_vs_LQ,Delta_LPIPS_vs_LQ,mean_struct,mean_conf,mean_final_conf,mean_final_conf2,suppressed_frac_struct,suppressed_frac_conf
case1,text,0.2500,LQ,32.028801,0.948453,0.078818,0.000000,0.000000,0.000000,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case1,text,0.2500,HYPIR-50,32.143319,0.945300,0.064668,0.114518,-0.003154,-0.014150,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case1,text,0.2500,HYPIR-200,29.335323,0.846634,0.071107,-2.693478,-0.101820,-0.007712,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case1,text,0.2500,texture_selective_h200,32.154456,0.949652,0.067331,0.125654,0.001199,-0.011488,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case1,text,0.2500,fusion_A,32.174384,0.949733,0.072710,0.145583,0.001280,-0.006108,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case1,text,0.2500,fusion_B,32.125805,0.946305,0.058466,0.097004,-0.002149,-0.020352,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case1,text,0.2500,fusion_A_conf05,32.139744,0.949578,0.076098,0.110943,0.001124,-0.002720,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case1,text,0.2500,fusion_B_conf05,32.208909,0.947018,0.059700,0.180107,-0.001436,-0.019118,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case1,text,0.2500,fusion_A_conf,32.109427,0.949304,0.077400,0.080626,0.000851,-0.001419,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case1,text,0.2500,fusion_B_conf,32.219943,0.947145,0.060467,0.191141,-0.001308,-0.018351,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case1,text,0.2500,fusion_A_conf2,32.064380,0.948784,0.078819,0.035579,0.000330,0.000000,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case1,text,0.2500,fusion_B_conf2,32.222244,0.947167,0.061362,0.193443,-0.001287,-0.017456,0.276499,0.870965,0.217492,0.189308,0.544998,0.646040
case2,book,0.3000,LQ,28.189381,0.831443,0.103031,0.000000,0.000000,0.000000,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case2,book,0.3000,HYPIR-50,28.976278,0.825432,0.079454,0.786896,-0.006012,-0.023577,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case2,book,0.3000,HYPIR-200,24.213958,0.731045,0.108812,-3.975424,-0.100398,0.005782,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case2,book,0.3000,texture_selective_h200,29.241406,0.838088,0.079297,1.052024,0.006644,-0.023733,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case2,book,0.3000,fusion_A,29.204470,0.838557,0.080829,1.015088,0.007114,-0.022202,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case2,book,0.3000,fusion_B,29.034315,0.828969,0.075210,0.844934,-0.002474,-0.027820,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case2,book,0.3000,fusion_A_conf05,28.791755,0.836266,0.088413,0.602373,0.004823,-0.014618,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case2,book,0.3000,fusion_B_conf05,29.213356,0.830914,0.074273,1.023974,-0.000530,-0.028758,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case2,book,0.3000,fusion_A_conf,28.604336,0.834967,0.092292,0.414954,0.003524,-0.010738,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case2,book,0.3000,fusion_B_conf,29.231519,0.831612,0.074588,1.042138,0.000169,-0.028443,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case2,book,0.3000,fusion_A_conf2,28.400948,0.833263,0.096811,0.211567,0.001819,-0.006220,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case2,book,0.3000,fusion_B_conf2,29.220451,0.832172,0.075322,1.031069,0.000729,-0.027709,0.592013,0.825894,0.498072,0.444863,0.017825,0.161728
case3,bird,0.1200,LQ,35.622082,0.934958,0.058362,0.000000,0.000000,0.000000,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
case3,bird,0.1200,HYPIR-50,34.688713,0.920412,0.074222,-0.933369,-0.014546,0.015859,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
case3,bird,0.1200,HYPIR-200,28.865398,0.812097,0.169986,-6.756683,-0.122862,0.111624,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
case3,bird,0.1200,texture_selective_h200,35.630109,0.932953,0.056101,0.008027,-0.002005,-0.002261,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
case3,bird,0.1200,fusion_A,35.742860,0.934929,0.055572,0.120779,-0.000029,-0.002790,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
case3,bird,0.1200,fusion_B,34.715472,0.924049,0.071518,-0.906609,-0.010910,0.013156,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
case3,bird,0.1200,fusion_A_conf05,35.672578,0.934662,0.056757,0.050497,-0.000296,-0.001605,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
case3,bird,0.1200,fusion_B_conf05,34.819678,0.924651,0.069757,-0.802404,-0.010307,0.011395,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
case3,bird,0.1200,fusion_A_conf,35.638458,0.934522,0.057431,0.016376,-0.000436,-0.000932,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
case3,bird,0.1200,fusion_B_conf,34.854575,0.924986,0.069046,-0.767507,-0.009972,0.010684,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
case3,bird,0.1200,fusion_A_conf2,35.604005,0.934423,0.058441,-0.018077,-0.000535,0.000079,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
case3,bird,0.1200,fusion_B_conf2,34.872562,0.925249,0.069021,-0.749519,-0.009710,0.010659,0.631060,0.838699,0.542531,0.487911,0.027737,0.141230
