case,crop,method,PSNR,SSIM
case1,text,LQ,25.814031,0.795738
case1,text,H50,25.523677,0.804093
case1,text,H200,21.372503,0.669915
case1,text,B,23.101734,0.672484
case1,text,C,22.940392,0.686888
case1,text,D01,22.847906,0.686162
case1,text,D02,22.748831,0.685337
case1,text,texture,25.577243,0.787580
case1,text,fusion_A,25.803638,0.796560
case2,spine,LQ,27.246095,0.827931
case2,spine,H50,28.380615,0.846729
case2,spine,H200,22.155818,0.765427
case2,spine,B,25.693910,0.780211
case2,spine,C,25.448877,0.783876
case2,spine,D01,25.266295,0.783022
case2,spine,D02,25.057178,0.781687
case2,spine,texture,28.761912,0.854367
case2,spine,fusion_A,28.606072,0.850635
case3,bird,LQ,34.993802,0.864937
case3,bird,H50,34.405263,0.852206
case3,bird,H200,30.827660,0.791231
case3,bird,B,34.093318,0.828635
case3,bird,C,33.954417,0.827689
case3,bird,D01,33.860874,0.826750
case3,bird,D02,33.744326,0.825409
case3,bird,texture,35.028023,0.865589
case3,bird,fusion_A,35.060115,0.865730
case3,water,LQ,46.641469,0.988699
case3,water,H50,42.148443,0.974472
case3,water,H200,34.484721,0.845169
case3,water,B,37.697765,0.874145
case3,water,C,37.533796,0.872227
case3,water,D01,37.438544,0.870952
case3,water,D02,37.294558,0.868776
case3,water,texture,45.946018,0.986865
case3,water,fusion_A,46.076891,0.987804
case3,mud,LQ,45.414703,0.984778
case3,mud,H50,39.694902,0.966248
case3,mud,H200,31.507242,0.789745
case3,mud,B,37.549751,0.860754
case3,mud,C,37.102208,0.855592
case3,mud,D01,36.868877,0.851910
case3,mud,D02,36.606643,0.847513
case3,mud,texture,43.595394,0.979991
case3,mud,fusion_A,44.654435,0.982990
case4,fish,LQ,17.363308,0.272106
case4,fish,H50,17.385224,0.267149
case4,fish,H200,15.766494,0.192691
case4,fish,B,16.678551,0.208249
case4,fish,C,16.645844,0.208621
case4,fish,D01,16.605592,0.207673
case4,fish,D02,16.557990,0.206236
case4,fish,texture,17.331750,0.258333
case4,fish,fusion_A,17.375132,0.272485
case4,leaf,LQ,17.313852,0.263657
case4,leaf,H50,17.387743,0.267356
case4,leaf,H200,16.189803,0.209626
case4,leaf,B,16.844712,0.218053
case4,leaf,C,16.834792,0.220621
case4,leaf,D01,16.806496,0.220027
case4,leaf,D02,16.772372,0.219310
case4,leaf,texture,17.347859,0.262550
case4,leaf,fusion_A,17.328446,0.264509
case4,yellow_flower,LQ,16.033532,0.202244
case4,yellow_flower,H50,16.070491,0.205667
case4,yellow_flower,H200,14.759171,0.185470
case4,yellow_flower,B,15.212836,0.180465
case4,yellow_flower,C,15.200568,0.184046
case4,yellow_flower,D01,15.180305,0.184528
case4,yellow_flower,D02,15.156261,0.184831
case4,yellow_flower,texture,16.030913,0.205386
case4,yellow_flower,fusion_A,16.044142,0.203417
case5,clock,LQ,26.387728,0.846590
case5,clock,H50,27.990698,0.881854
case5,clock,H200,25.030212,0.788027
case5,clock,B,25.382004,0.774394
case5,clock,C,25.745724,0.799700
case5,clock,D01,25.710852,0.800074
case5,clock,D02,25.670619,0.799817
case5,clock,texture,27.311358,0.863181
case5,clock,fusion_A,27.106303,0.857260
