case,method,PSNR,SSIM,LPIPS_Alex,Delta_PSNR_vs_LQ,Delta_SSIM_vs_LQ,Delta_LPIPS_vs_LQ
case1,LQ,32.028801,0.948453,0.078818,0.000000,0.000000,0.000000
case1,HYPIR-50,32.143319,0.945300,0.064668,0.114518,-0.003154,-0.014150
case1,HYPIR-200,29.335323,0.846634,0.071107,-2.693478,-0.101820,-0.007712
case1,texture_selective_h200,32.154456,0.949652,0.067331,0.125654,0.001199,-0.011488
case1,fusion_v1_A,32.174384,0.949733,0.072710,0.145583,0.001280,-0.006108
case1,multi_B,30.477924,0.859291,0.070662,-1.550877,-0.089163,-0.008156
case1,multi_C,30.485353,0.862199,0.060429,-1.543448,-0.086254,-0.018389
case1,multi_D01,30.436176,0.861924,0.059490,-1.592626,-0.086529,-0.019328
case1,multi_D02,30.377286,0.861187,0.058636,-1.651515,-0.087267,-0.020182
case2,LQ,28.189381,0.831443,0.103031,0.000000,0.000000,0.000000
case2,HYPIR-50,28.976278,0.825432,0.079454,0.786896,-0.006012,-0.023577
case2,HYPIR-200,24.213958,0.731045,0.108812,-3.975424,-0.100398,0.005782
case2,texture_selective_h200,29.241406,0.838088,0.079297,1.052024,0.006644,-0.023733
case2,fusion_v1_A,29.204470,0.838557,0.080829,1.015088,0.007114,-0.022202
case2,multi_B,26.724088,0.760215,0.088904,-1.465293,-0.071228,-0.014127
case2,multi_C,26.683291,0.759537,0.087905,-1.506090,-0.071906,-0.015126
case2,multi_D01,26.580872,0.758296,0.088683,-1.608509,-0.073148,-0.014348
case2,multi_D02,26.449802,0.756538,0.089890,-1.739579,-0.074905,-0.013140
case3,LQ,35.622082,0.934958,0.058362,0.000000,0.000000,0.000000
case3,HYPIR-50,34.688713,0.920412,0.074222,-0.933369,-0.014546,0.015859
case3,HYPIR-200,28.865398,0.812097,0.169986,-6.756683,-0.122862,0.111624
case3,texture_selective_h200,35.630109,0.932953,0.056101,0.008027,-0.002005,-0.002261
case3,fusion_v1_A,35.742860,0.934929,0.055572,0.120779,-0.000029,-0.002790
case3,multi_B,33.227686,0.853922,0.050708,-2.394396,-0.081036,-0.007654
case3,multi_C,32.927928,0.851530,0.061273,-2.694153,-0.083428,0.002911
case3,multi_D01,32.762417,0.849659,0.067747,-2.859664,-0.085299,0.009385
case3,multi_D02,32.565038,0.847147,0.074557,-3.057044,-0.087811,0.016195
case4,LQ,18.056199,0.309323,0.654324,0.000000,0.000000,0.000000
case4,HYPIR-50,18.084599,0.310380,0.543474,0.028400,0.001057,-0.110850
case4,HYPIR-200,16.352439,0.257605,0.376841,-1.703761,-0.051718,-0.277482
case4,texture_selective_h200,18.019865,0.306790,0.536617,-0.036334,-0.002533,-0.117707
case4,fusion_v1_A,18.063578,0.309831,0.640015,0.007379,0.000508,-0.014309
case4,multi_B,17.355807,0.268230,0.548933,-0.700393,-0.041093,-0.105390
case4,multi_C,17.305523,0.269170,0.493670,-0.750677,-0.040153,-0.160654
case4,multi_D01,17.254792,0.268455,0.476175,-0.801407,-0.040867,-0.178149
case4,multi_D02,17.196504,0.267465,0.461189,-0.859696,-0.041858,-0.193134
case5,LQ,26.275637,0.864316,0.127053,0.000000,0.000000,0.000000
case5,HYPIR-50,27.394758,0.883153,0.048376,1.119121,0.018837,-0.078677
case5,HYPIR-200,23.875816,0.777249,0.071574,-2.399821,-0.087067,-0.055480
case5,texture_selective_h200,27.355563,0.879620,0.083397,1.079927,0.015304,-0.043657
case5,fusion_v1_A,27.116744,0.875299,0.093797,0.841108,0.010983,-0.033256
case5,multi_B,25.236359,0.793176,0.093778,-1.039278,-0.071140,-0.033275
case5,multi_C,25.493267,0.806806,0.052394,-0.782370,-0.057510,-0.074660
case5,multi_D01,25.430303,0.805567,0.052108,-0.845333,-0.058749,-0.074945
case5,multi_D02,25.354765,0.803780,0.052385,-0.920872,-0.060536,-0.074668
Average,LQ,28.034420,0.777699,0.204318,0.000000,0.000000,0.000000
Average,HYPIR-50,28.257533,0.776935,0.162039,0.223113,-0.000764,-0.042279
Average,HYPIR-200,24.528587,0.684926,0.159664,-3.505833,-0.092773,-0.044654
Average,texture_selective_h200,28.480280,0.781421,0.164548,0.445860,0.003722,-0.039769
Average,fusion_v1_A,28.460407,0.781670,0.188585,0.425987,0.003971,-0.015733
Average,multi_B,26.604373,0.706967,0.170597,-1.430047,-0.070732,-0.033721
Average,multi_C,26.579072,0.709848,0.151134,-1.455348,-0.067850,-0.053184
Average,multi_D01,26.492912,0.708780,0.148841,-1.541508,-0.068919,-0.055477
Average,multi_D02,26.388679,0.707223,0.147331,-1.645741,-0.070475,-0.056986
