case,crop,method,PSNR,SSIM
case1,text,LQ,25.814031,0.795738
case1,text,t=50,25.523677,0.804093
case1,text,t=75,25.170787,0.793380
case1,text,t=100,24.679759,0.777215
case1,text,t=150,23.299047,0.729586
case1,text,t=200,21.372503,0.669915
case1,text,texture,25.577243,0.787580
case1,text,fusion_A,25.803638,0.796560
case2,spine,LQ,27.246095,0.827931
case2,spine,t=50,28.380615,0.846729
case2,spine,t=75,27.651834,0.841218
case2,spine,t=100,26.659245,0.831440
case2,spine,t=150,24.274889,0.801654
case2,spine,t=200,22.155818,0.765427
case2,spine,texture,28.761912,0.854367
case2,spine,fusion_A,28.606072,0.850635
case3,bird,LQ,34.993802,0.864937
case3,bird,t=50,34.405263,0.852206
case3,bird,t=75,34.249854,0.849353
case3,bird,t=100,34.007800,0.845698
case3,bird,t=150,33.000693,0.830650
case3,bird,t=200,30.827660,0.791231
case3,bird,texture,35.028023,0.865589
case3,bird,fusion_A,35.060115,0.865730
case3,water,LQ,46.641469,0.988699
case3,water,t=50,42.148443,0.974472
case3,water,t=75,41.244144,0.967802
case3,water,t=100,40.228143,0.957967
case3,water,t=150,37.776752,0.922568
case3,water,t=200,34.484721,0.845169
case3,water,texture,45.946018,0.986865
case3,water,fusion_A,46.076891,0.987804
case3,mud,LQ,45.414703,0.984778
case3,mud,t=50,39.694902,0.966248
case3,mud,t=75,38.709292,0.957683
case3,mud,t=100,37.553078,0.945300
case3,mud,t=150,34.833096,0.898932
case3,mud,t=200,31.507242,0.789745
case3,mud,texture,43.595394,0.979991
case3,mud,fusion_A,44.654435,0.982990
case4,fish,LQ,17.363308,0.272106
case4,fish,t=50,17.385224,0.267149
case4,fish,t=75,17.327974,0.260354
case4,fish,t=100,17.212008,0.251019
case4,fish,t=150,16.703172,0.225356
case4,fish,t=200,15.766494,0.192691
case4,fish,texture,17.331750,0.258333
case4,fish,fusion_A,17.375132,0.272485
case4,leaf,LQ,17.313852,0.263657
case4,leaf,t=50,17.387743,0.267356
case4,leaf,t=75,17.363782,0.264716
case4,leaf,t=100,17.307010,0.259048
case4,leaf,t=150,16.981419,0.237048
case4,leaf,t=200,16.189803,0.209626
case4,leaf,texture,17.347859,0.262550
case4,leaf,fusion_A,17.328446,0.264509
case4,yellow_flower,LQ,16.033532,0.202244
case4,yellow_flower,t=50,16.070491,0.205667
case4,yellow_flower,t=75,16.036069,0.205592
case4,yellow_flower,t=100,15.930959,0.203303
case4,yellow_flower,t=150,15.443954,0.196425
case4,yellow_flower,t=200,14.759171,0.185470
case4,yellow_flower,texture,16.030913,0.205386
case4,yellow_flower,fusion_A,16.044142,0.203417
case5,clock,LQ,32.048697,0.946713
case5,clock,t=50,33.641297,0.952348
case5,clock,t=75,33.560313,0.948589
case5,clock,t=100,33.346267,0.942963
case5,clock,t=150,32.489806,0.916237
case5,clock,t=200,31.288724,0.843500
case5,clock,texture,32.737182,0.950556
case5,clock,fusion_A,32.616297,0.947596
