case,method,PSNR,SSIM,LPIPS_Alex,Delta_PSNR_vs_LQ,Delta_SSIM_vs_LQ,Delta_LPIPS_vs_LQ
case1,LQ,32.028801,0.948453,0.078818,0.000000,0.000000,0.000000
case1,coeff_t_50,32.143319,0.945300,0.064668,0.114518,-0.003154,-0.014150
case1,coeff_t_75,32.000888,0.940501,0.061390,-0.027913,-0.007953,-0.017428
case1,coeff_t_100,31.757209,0.933505,0.060011,-0.271592,-0.014949,-0.018808
case1,coeff_t_150,30.884323,0.906503,0.061527,-1.144479,-0.041951,-0.017291
case1,coeff_t_200,29.335323,0.846634,0.071107,-2.693478,-0.101820,-0.007712
case1,texture_selective_h200,32.154456,0.949652,0.067331,0.125654,0.001199,-0.011488
case1,fusion_v1_A,32.174384,0.949733,0.072710,0.145583,0.001280,-0.006108
case2,LQ,28.189381,0.831443,0.103031,0.000000,0.000000,0.000000
case2,coeff_t_50,28.976278,0.825432,0.079454,0.786896,-0.006012,-0.023577
case2,coeff_t_75,28.593125,0.818023,0.079417,0.403744,-0.013421,-0.023614
case2,coeff_t_100,27.929385,0.807759,0.081842,-0.259997,-0.023684,-0.021189
case2,coeff_t_150,26.158736,0.777299,0.092963,-2.030645,-0.054144,-0.010068
case2,coeff_t_200,24.213958,0.731045,0.108812,-3.975424,-0.100398,0.005782
case2,texture_selective_h200,29.241406,0.838088,0.079297,1.052024,0.006644,-0.023733
case2,fusion_v1_A,29.204470,0.838557,0.080829,1.015088,0.007114,-0.022202
case3,LQ,35.622082,0.934958,0.058362,0.000000,0.000000,0.000000
case3,coeff_t_50,34.688713,0.920412,0.074222,-0.933369,-0.014546,0.015859
case3,coeff_t_75,34.166027,0.913928,0.082580,-1.456055,-0.021031,0.024218
case3,coeff_t_100,33.472287,0.904825,0.093466,-2.149795,-0.030134,0.035104
case3,coeff_t_150,31.523257,0.873243,0.124128,-4.098824,-0.061715,0.065766
case3,coeff_t_200,28.865398,0.812097,0.169986,-6.756683,-0.122862,0.111624
case3,texture_selective_h200,35.630109,0.932953,0.056101,0.008027,-0.002005,-0.002261
case3,fusion_v1_A,35.742860,0.934929,0.055572,0.120779,-0.000029,-0.002790
case4,LQ,18.056199,0.309323,0.654324,0.000000,0.000000,0.000000
case4,coeff_t_50,18.084599,0.310380,0.543474,0.028400,0.001057,-0.110850
case4,coeff_t_75,18.041648,0.308373,0.506175,-0.014552,-0.000949,-0.148148
case4,coeff_t_100,17.939315,0.303874,0.468917,-0.116884,-0.005448,-0.185407
case4,coeff_t_150,17.389897,0.285376,0.406722,-0.666302,-0.023947,-0.247601
case4,coeff_t_200,16.352439,0.257605,0.376841,-1.703761,-0.051718,-0.277482
case4,texture_selective_h200,18.019865,0.306790,0.536617,-0.036334,-0.002533,-0.117707
case4,fusion_v1_A,18.063578,0.309831,0.640015,0.007379,0.000508,-0.014309
case5,LQ,26.275637,0.864316,0.127053,0.000000,0.000000,0.000000
case5,coeff_t_50,27.394758,0.883153,0.048376,1.119121,0.018837,-0.078677
case5,coeff_t_75,26.988038,0.874579,0.046695,0.712402,0.010263,-0.080358
case5,coeff_t_100,26.424327,0.862551,0.048874,0.148691,-0.001765,-0.078179
case5,coeff_t_150,25.110399,0.828020,0.058424,-1.165237,-0.036296,-0.068629
case5,coeff_t_200,23.875816,0.777249,0.071574,-2.399821,-0.087067,-0.055480
case5,texture_selective_h200,27.355563,0.879620,0.083397,1.079927,0.015304,-0.043657
case5,fusion_v1_A,27.116744,0.875299,0.093797,0.841108,0.010983,-0.033256
Average,LQ,28.034420,0.777699,0.204318,0.000000,0.000000,0.000000
Average,coeff_t_50,28.257533,0.776935,0.162039,0.223113,-0.000764,-0.042279
Average,coeff_t_75,27.957945,0.771081,0.155252,-0.076475,-0.006618,-0.049066
Average,coeff_t_100,27.504504,0.762503,0.150622,-0.529916,-0.015196,-0.053696
Average,coeff_t_150,26.213323,0.734088,0.148753,-1.821097,-0.043611,-0.055565
Average,coeff_t_200,24.528587,0.684926,0.159664,-3.505833,-0.092773,-0.044654
Average,texture_selective_h200,28.480280,0.781421,0.164548,0.445860,0.003722,-0.039769
Average,fusion_v1_A,28.460407,0.781670,0.188585,0.425987,0.003971,-0.015733
