model_t,Case,LQ PSNR (dB),Output PSNR (dB),Delta PSNR (dB),PSNR Conclusion,LQ SSIM,Output SSIM,Delta SSIM,SSIM Conclusion,LQ LPIPS-Alex,Output LPIPS-Alex,Delta LPIPS,LPIPS Conclusion,total_elapsed_seconds,model_load_seconds,Output Path
200,case1,32.028801,29.335323,-2.693478,Degraded,0.948453,0.846634,-0.101820,Degraded,0.072517,0.452658,0.380142,Degraded,,,baseline\experiments\model_t_200\output\result\case1_lq.png
200,case2,28.189381,24.213958,-3.975424,Degraded,0.831443,0.731045,-0.100398,Degraded,0.373972,0.374753,0.000781,Degraded,,,baseline\experiments\model_t_200\output\result\case2_lq.png
200,case3,35.622082,28.865398,-6.756683,Degraded,0.934958,0.812097,-0.122862,Degraded,0.170643,0.405851,0.235208,Degraded,,,baseline\experiments\model_t_200\output\result\case3_lq.png
200,case4,18.056199,16.352439,-1.703761,Degraded,0.309323,0.257605,-0.051718,Degraded,0.879949,0.626074,-0.253875,Improved,,,baseline\experiments\model_t_200\output\result\case4_lq.png
200,case5,26.275637,23.875816,-2.399821,Degraded,0.864316,0.777249,-0.087067,Degraded,0.285579,0.445688,0.160109,Degraded,,,baseline\experiments\model_t_200\output\result\case5_lq.png
200,Average,28.034420,24.528587,-3.505833,Degraded,0.777699,0.684926,-0.092773,Degraded,0.356532,0.461005,0.104473,Degraded,320.999,11.69,.
150,case1,32.028801,28.329395,-3.699406,Degraded,0.948453,0.811666,-0.136788,Degraded,0.072517,0.508920,0.436403,Degraded,,,baseline\experiments\model_t_150\output\result\case1_lq.png
150,case2,28.189381,23.895297,-4.294084,Degraded,0.831443,0.725434,-0.106010,Degraded,0.373972,0.363932,-0.010040,Improved,,,baseline\experiments\model_t_150\output\result\case2_lq.png
150,case3,35.622082,28.122496,-7.499586,Degraded,0.934958,0.805081,-0.129877,Degraded,0.170643,0.410065,0.239421,Degraded,,,baseline\experiments\model_t_150\output\result\case3_lq.png
150,case4,18.056199,16.738141,-1.318059,Degraded,0.309323,0.269010,-0.040312,Degraded,0.879949,0.627510,-0.252439,Improved,,,baseline\experiments\model_t_150\output\result\case4_lq.png
150,case5,26.275637,23.311532,-2.964104,Degraded,0.864316,0.756718,-0.107599,Degraded,0.285579,0.465289,0.179710,Degraded,,,baseline\experiments\model_t_150\output\result\case5_lq.png
150,Average,28.034420,24.079372,-3.955048,Degraded,0.777699,0.673582,-0.104117,Degraded,0.356532,0.475143,0.118611,Degraded,330.210,10.96,.
100,case1,32.028801,26.722953,-5.305848,Degraded,0.948453,0.741748,-0.206706,Degraded,0.072517,0.583466,0.510950,Degraded,,,baseline\experiments\model_t_100\output\result\case1_lq.png
100,case2,28.189381,23.298021,-4.891361,Degraded,0.831443,0.706393,-0.125051,Degraded,0.373972,0.351573,-0.022399,Improved,,,baseline\experiments\model_t_100\output\result\case2_lq.png
100,case3,35.622082,26.927404,-8.694678,Degraded,0.934958,0.783107,-0.151851,Degraded,0.170643,0.429188,0.258544,Degraded,,,baseline\experiments\model_t_100\output\result\case3_lq.png
100,case4,18.056199,16.720051,-1.336149,Degraded,0.309323,0.270470,-0.038852,Degraded,0.879949,0.611766,-0.268183,Improved,,,baseline\experiments\model_t_100\output\result\case4_lq.png
100,case5,26.275637,22.608555,-3.667081,Degraded,0.864316,0.715745,-0.148571,Degraded,0.285579,0.494812,0.209233,Degraded,,,baseline\experiments\model_t_100\output\result\case5_lq.png
100,Average,28.034420,23.255397,-4.779023,Degraded,0.777699,0.643493,-0.134206,Degraded,0.356532,0.494161,0.137629,Degraded,326.382,12.29,.
