case,method,PSNR,SSIM,LPIPS_Alex,change_L1
case1,LQ,32.028801,0.948453,0.078794,0.000000
case1,HYPIR-50,32.143319,0.945300,0.064659,1.352923
case1,HYPIR-200,29.335323,0.846634,0.071112,3.660028
case1,texture_selective_h200,32.154456,0.949652,0.067309,0.473376
case1,Scenario Routing v1,29.335323,0.846634,0.071112,3.660028
case2,LQ,28.189381,0.831443,0.103027,0.000000
case2,HYPIR-50,28.976278,0.825432,0.079462,3.099127
case2,HYPIR-200,24.213958,0.731045,0.108835,8.619531
case2,texture_selective_h200,29.241406,0.838088,0.079302,1.550951
case2,Scenario Routing v1,28.189381,0.831443,0.103027,0.000000
case3,LQ,35.622082,0.934958,0.058367,0.000000
case3,HYPIR-50,34.688713,0.920412,0.074223,1.731300
case3,HYPIR-200,28.865398,0.812097,0.169974,5.027658
case3,texture_selective_h200,35.630109,0.932953,0.056104,0.726096
case3,Scenario Routing v1,28.865398,0.812097,0.169974,5.027658
case4,LQ,18.056199,0.309323,0.654342,0.000000
case4,HYPIR-50,18.084599,0.310380,0.543480,2.984869
case4,HYPIR-200,16.352439,0.257605,0.376833,13.594495
case4,texture_selective_h200,18.019865,0.306790,0.536626,2.614678
case4,Scenario Routing v1,16.352439,0.257605,0.376833,13.594495
case5,LQ,26.275637,0.864316,0.127044,0.000000
case5,HYPIR-50,27.394758,0.883153,0.048371,4.315543
case5,HYPIR-200,23.875816,0.777249,0.071578,8.657847
case5,texture_selective_h200,27.355563,0.879620,0.083387,1.623308
case5,Scenario Routing v1,26.275637,0.864316,0.127044,0.000000
Average,LQ,28.034420,0.777699,0.204315,0.000000
Average,HYPIR-50,28.257533,0.776935,0.162039,2.696752
Average,HYPIR-200,24.528587,0.684926,0.159666,7.911912
Average,texture_selective_h200,28.480280,0.781421,0.164546,1.397682
Average,Scenario Routing v1,25.803636,0.722419,0.169598,4.456436
