case,method,PSNR,SSIM,LPIPS_Alex,change_L1,strong_edge_error_to_GT_L1,strong_edge_change_L1,textured_non_edge_error_to_GT_L1,textured_non_edge_change_L1,blurred_texture_error_to_GT_L1,blurred_texture_change_L1
case1,HYPIR-200,29.335323,0.846634,0.071112,3.660028,11.349716,9.800676,2.519607,1.919400,,
case1,HYPIR-50,32.143319,0.945300,0.064659,1.352923,9.033009,3.635112,1.967114,0.855632,,
case1,LQ,32.028801,0.948453,0.078794,0.000000,9.768621,0.000000,1.874616,0.000000,,
case1,texture_selective_h200,32.154456,0.949652,0.067309,0.473376,9.351180,2.364277,1.881103,0.223921,,
case2,HYPIR-200,24.213958,0.731045,0.108835,8.619531,19.651217,24.077450,6.761423,6.040349,,
case2,HYPIR-50,28.976278,0.825432,0.079462,3.099127,11.906406,8.580615,5.978041,2.492032,,
case2,LQ,28.189381,0.831443,0.103027,0.000000,13.509303,0.000000,6.159645,0.000000,,
case2,texture_selective_h200,29.241406,0.838088,0.079302,1.550951,11.435679,5.328803,5.648774,1.546156,,
case3,HYPIR-200,28.865398,0.812097,0.169974,5.027658,11.605199,11.717484,4.856893,4.115929,,
case3,HYPIR-50,34.688713,0.920412,0.074223,1.731300,5.793312,3.783150,3.173305,1.624073,,
case3,LQ,35.622082,0.934958,0.058367,0.000000,5.031256,0.000000,2.705838,0.000000,,
case3,texture_selective_h200,35.630109,0.932953,0.056104,0.726096,5.159351,2.505247,2.821497,0.887729,,
case4,HYPIR-200,16.352439,0.257605,0.376833,13.594495,41.003159,27.503132,25.249979,10.433134,33.944443,24.592590
case4,HYPIR-50,18.084599,0.310380,0.543480,2.984869,34.732117,6.054087,24.272495,2.820464,29.493826,2.981482
case4,LQ,18.056199,0.309323,0.654342,0.000000,35.340649,0.000000,24.136026,0.000000,30.672836,0.000000
case4,texture_selective_h200,18.019865,0.306790,0.536626,2.614678,34.998287,6.395228,23.947495,2.630588,29.345644,5.828787
case5,HYPIR-200,23.875816,0.777249,0.071578,8.657847,21.127918,26.690998,7.231469,6.084229,,
case5,HYPIR-50,27.394758,0.883153,0.048371,4.315543,14.423262,13.774226,6.845639,3.490166,,
case5,LQ,26.275637,0.864316,0.127044,0.000000,17.700729,0.000000,7.156791,0.000000,,
case5,texture_selective_h200,27.355563,0.879620,0.083387,1.623308,15.163031,6.270488,6.687310,1.520739,,
