case,method,PSNR,SSIM,LPIPS_Alex,Delta_PSNR_vs_LQ,Delta_SSIM_vs_LQ,Delta_LPIPS_vs_LQ
case1,LQ,32.028801,0.948453,0.078794,0.000000,0.000000,0.000000
case1,HYPIR-50,32.143319,0.945300,0.064659,0.114518,-0.003153,-0.014135
case1,HYPIR-200,29.335323,0.846634,0.071112,-2.693478,-0.101819,-0.007682
case1,texture_selective_h200,32.154456,0.949652,0.067309,0.125655,0.001199,-0.011485
case1,Structure-Anchored Residual Fusion v2,32.078427,0.949050,0.077897,0.049626,0.000597,-0.000897
case2,LQ,28.189381,0.831443,0.103027,0.000000,0.000000,0.000000
case2,HYPIR-50,28.976278,0.825432,0.079462,0.786897,-0.006011,-0.023565
case2,HYPIR-200,24.213958,0.731045,0.108835,-3.975423,-0.100398,0.005808
case2,texture_selective_h200,29.241406,0.838088,0.079302,1.052025,0.006645,-0.023725
case2,Structure-Anchored Residual Fusion v2,28.473299,0.835276,0.092038,0.283918,0.003833,-0.010989
case3,LQ,35.622082,0.934958,0.058367,0.000000,0.000000,0.000000
case3,HYPIR-50,34.688713,0.920412,0.074223,-0.933369,-0.014546,0.015856
case3,HYPIR-200,28.865398,0.812097,0.169974,-6.756684,-0.122861,0.111607
case3,texture_selective_h200,35.630109,0.932953,0.056104,0.008027,-0.002005,-0.002263
case3,Structure-Anchored Residual Fusion v2,35.704016,0.935045,0.056294,0.081934,0.000087,-0.002073
case4,LQ,18.056199,0.309323,0.654342,0.000000,0.000000,0.000000
case4,HYPIR-50,18.084599,0.310380,0.543480,0.028400,0.001057,-0.110862
case4,HYPIR-200,16.352439,0.257605,0.376833,-1.703760,-0.051718,-0.277509
case4,texture_selective_h200,18.019865,0.306790,0.536626,-0.036334,-0.002533,-0.117716
case4,Structure-Anchored Residual Fusion v2,18.063070,0.308992,0.628801,0.006871,-0.000331,-0.025541
case5,LQ,26.275637,0.864316,0.127044,0.000000,0.000000,0.000000
case5,HYPIR-50,27.394758,0.883153,0.048371,1.119121,0.018837,-0.078673
case5,HYPIR-200,23.875816,0.777249,0.071578,-2.399821,-0.087067,-0.055466
case5,texture_selective_h200,27.355563,0.879620,0.083387,1.079926,0.015304,-0.043657
case5,Structure-Anchored Residual Fusion v2,26.472231,0.869379,0.120427,0.196594,0.005063,-0.006617
Average,LQ,28.034420,0.777699,0.204315,0.000000,0.000000,0.000000
Average,HYPIR-50,28.257533,0.776935,0.162039,0.223113,-0.000763,-0.042276
Average,HYPIR-200,24.528587,0.684926,0.159666,-3.505833,-0.092773,-0.044648
Average,texture_selective_h200,28.480280,0.781421,0.164546,0.445860,0.003722,-0.039769
Average,Structure-Anchored Residual Fusion v2,28.158209,0.779548,0.195091,0.123789,0.001850,-0.009223
