case,x0,y0,x1,y1,width,height,lq_gt_l1,lq_gt_mse,lq_gt_psnr,lq_gt_ssim,lq_gt_gradient_difference,lq_gt_edge_density_difference,h200_gt_l1,h200_gt_mse,h200_gt_psnr,h200_gt_gradient_difference,h50_gt_l1,h50_gt_mse,h50_gt_psnr,h50_gt_gradient_difference,required_change_l1,required_change_gradient,generated_change_200_l1,generated_change_50_l1,generated_change_200_gradient,generated_change_50_gradient,improvement_200_l1,improvement_50_l1,improvement_200_mse,improvement_50_mse,change_alignment_200,change_alignment_50,local_variance,gradient_magnitude,edge_density,laplacian_magnitude,local_contrast,local_entropy,blur_proxy,primary_type,type_e_conservative,type_f_potential_ideal
case2,256,1152,512,1408,256,256,4.19005823135376,31.892257690429688,33.093950963195525,0.8433068975022385,2.223546028137207,0.028472900390625,4.806798458099365,46.57004165649414,31.44973722604259,1.9844180345535278,4.08295202255249,28.962121963500977,33.51249973253871,2.009833574295044,4.19005823135376,2.223546028137207,3.98870849609375,1.7526143789291382,1.7287501096725464,0.7113345861434937,-0.6167402267456055,0.10710620880126953,-14.677783966064453,2.930135726928711,0.38455650387364637,0.3374927545460095,1209.8721923828125,1.2965160608291626,0.010406494140625,0.976165771484375,0.2643430531024933,2.779721291156861,0.7529139518737793,Other,True,False
case2,0,3712,256,3968,256,256,2.4711506366729736,14.231059074401855,36.59843149117761,0.9302284832436548,1.228468418121338,0.0080108642578125,4.6345672607421875,97.6572036743164,28.23376087681023,1.4758329391479492,2.743748903274536,17.947839736938477,35.59068162585131,1.1217331886291504,2.4711506366729736,1.228468418121338,3.986760377883911,1.6429494619369507,1.5395758152008057,0.5508561134338379,-2.163416624069214,-0.2725982666015625,-83.42614459991455,-3.716780662536621,0.2838163489129285,0.3527367138181467,379.0782165527344,0.6308435797691345,0.001678466796875,0.7656862735748291,0.10036034137010574,2.4197850287988794,1.2137478590011597,Other,False,False
case2,2816,2432,3072,2688,256,256,2.7163493633270264,21.4320068359375,34.8201752174548,0.9377825962271961,1.307795763015747,0.01812744140625,4.0560760498046875,91.34102630615234,28.524144617527178,1.7553789615631104,2.649749755859375,18.58595848083496,35.438954130793554,1.2262485027313232,2.7163493633270264,1.307795763015747,3.983423948287964,1.7134603261947632,1.8646960258483887,0.7749148607254028,-1.3397266864776611,0.06659960746765137,-69.90901947021484,2.846048355102539,0.545055568189249,0.5244606991252873,369.55621337890625,0.9516086578369141,0.0183258056640625,0.8569028973579407,0.09306598454713821,1.405545410853263,0.9004772901535034,Other,True,False
case2,2560,0,2816,256,256,256,4.349817752838135,36.23359680175781,32.53968913567509,0.8110626570746712,2.5045461654663086,0.0277099609375,4.939096927642822,62.56980514526367,30.16715567192998,2.3700246810913086,4.167266845703125,31.0218505859375,33.21412659096049,2.2823734283447266,4.349817752838135,2.5045461654663086,3.902562379837036,1.6184335947036743,1.636252522468567,0.6779941320419312,-0.5892791748046875,0.18255090713500977,-26.33620834350586,5.2117462158203125,0.41862859084286985,0.389619157056675,3413.78662109375,0.8277759552001953,0.0028839111328125,0.9370523691177368,0.5860797166824341,3.2902395322743425,1.1320106983184814,Other,True,False
case2,2560,128,2816,384,256,256,3.9694416522979736,33.24522018432617,32.913511638334455,0.8609618138626131,2.068143367767334,0.0295867919921875,4.66193151473999,66.26295471191406,29.91809563392755,2.1282098293304443,3.81585693359375,27.65193748474121,33.713548044910254,1.8500378131866455,3.9694416522979736,2.068143367767334,3.892817258834839,1.6443990468978882,1.9081116914749146,0.7199578881263733,-0.6924898624420166,0.15358471870422363,-33.01773452758789,5.593282699584961,0.44903262700001173,0.4240199685445768,919.0487060546875,0.8297677636146545,0.004364013671875,0.8597818613052368,0.1920984387397766,3.0159907983302463,1.0361703634262085,Other,True,False
case2,640,1024,896,1280,256,256,3.859217405319214,33.56301498413086,32.872194104998876,0.8666315399382253,2.120712995529175,0.0260162353515625,4.88867712020874,54.89278793334961,30.735650823341345,1.926931619644165,4.011250972747803,34.63081741333008,32.736176023207605,1.9012948274612427,3.859217405319214,2.120712995529175,3.8145954608917236,1.4235280752182007,1.9547218084335327,0.6605530381202698,-1.0294597148895264,-0.15203356742858887,-21.32977294921875,-1.0678024291992188,0.3375466042719696,0.15657337269336635,1397.855712890625,1.1145628690719604,0.014556884765625,0.9393005967140198,0.24070852994918823,2.5608981360802123,0.8427517414093018,Other,False,False
case2,512,256,768,512,256,256,4.639007568359375,44.118896484375,31.684557196731973,0.7977314347595846,2.382801055908203,0.027435302734375,5.294850826263428,69.33768463134766,29.72111009617813,2.1119484901428223,4.599085330963135,42.584224700927734,31.838316290566677,2.1683273315429688,4.639007568359375,2.382801055908203,3.7730510234832764,1.3519744873046875,1.7110068798065186,0.589019775390625,-0.6558432579040527,0.039922237396240234,-25.218788146972656,1.5346717834472656,0.27746625963411575,0.2188747719474585,3691.952880859375,0.8611786365509033,0.0033111572265625,0.941091001033783,0.5021651983261108,3.44174503436809,1.0927928686141968,Other,True,False
case2,2560,1024,2816,1280,256,256,5.18419885635376,81.29894256591797,29.029954504065735,0.8301855023225583,2.4563612937927246,0.0335540771484375,4.56298828125,50.2950325012207,31.11555256757405,2.097715377807617,4.8494415283203125,60.98551940917969,30.27853633844845,2.2668297290802,5.18419885635376,2.4563612937927246,3.729588747024536,1.5810445547103882,1.4302258491516113,0.6564661264419556,0.6212105751037598,0.33475732803344727,31.003910064697266,20.31342315673828,0.6675372997711981,0.5451956724377683,3424.977294921875,1.778910756111145,0.04144287109375,1.2684733867645264,1.3612357378005981,3.319857806778808,0.7130614519119263,Other,True,False
case2,1408,2944,1664,3200,256,256,3.497533082962036,33.89937973022461,32.82888625332949,0.9078001482310709,1.681061863899231,0.0267486572265625,4.2475433349609375,60.26789855957031,30.32994312255377,1.9456896781921387,3.5936381816864014,30.81170654296875,33.2436460796903,1.5951428413391113,3.497533082962036,1.681061863899231,3.72283935546875,1.6013234853744507,1.8788669109344482,0.7762088775634766,-0.7500102519989014,-0.09610509872436523,-26.368518829345703,3.0876731872558594,0.4653760640823771,0.3461072804338994,1629.0340576171875,1.3359439373016357,0.0189056396484375,1.1063334941864014,0.2221979945898056,3.422129063521729,0.8281280994415283,Other,False,False
case2,2816,2560,3072,2816,256,256,2.7262065410614014,22.46671485900879,34.61540775175597,0.9358408049736194,1.3385937213897705,0.0205078125,3.8947551250457764,70.5530776977539,29.64564381722726,1.6354870796203613,2.767578125,18.81451416015625,35.38587352683856,1.1698734760284424,2.7262065410614014,1.3385937213897705,3.7156982421875,1.644439697265625,1.8328980207443237,0.7394659519195557,-1.168548583984375,-0.04137158393859863,-48.08636283874512,3.652200698852539,0.5509110296719102,0.47963742095354117,328.75701904296875,0.8841695785522461,0.0140228271484375,0.8070576190948486,0.08788541704416275,1.3376172250608465,0.9127849340438843,Other,False,False
case2,640,384,896,640,256,256,4.980367183685303,64.8460693359375,30.01196704541083,0.8173710440925993,2.612285614013672,0.0410308837890625,5.40233850479126,84.67215728759766,28.853397489913263,2.397526264190674,4.902928829193115,59.67265319824219,30.373050127550144,2.3973755836486816,4.980367183685303,2.612285614013672,3.702723264694214,1.4930776357650757,1.8776503801345825,0.6817505359649658,-0.42197132110595703,0.0774383544921875,-19.826087951660156,5.1734161376953125,0.34896552878496123,0.2860101438827439,3607.45654296875,1.0939786434173584,0.01751708984375,0.9690247774124146,0.4670804440975189,3.1845826587278343,0.8857795596122742,Other,True,False
case2,1024,512,1280,768,256,256,4.146642208099365,35.51741027832031,32.62639068818709,0.7919851230744855,2.6039226055145264,0.00958251953125,5.00670862197876,92.2646484375,28.48045005666933,2.5527100563049316,4.13665771484375,36.01629638671875,32.56581309283577,2.4948678016662598,4.146642208099365,2.6039226055145264,3.6951396465301514,1.7292124032974243,1.8974599838256836,0.7669990062713623,-0.8600664138793945,0.009984493255615234,-56.74723815917969,-0.4988861083984375,0.3502112340712724,0.3328462190098556,1763.3822021484375,1.085314154624939,0.024444580078125,1.132415771484375,0.9902195334434509,2.4861392135816667,1.043398141860962,Other,True,False
case2,128,1152,384,1408,256,256,5.4227752685546875,76.21515655517578,29.310390292989233,0.8294087481245432,2.763683795928955,0.0482177734375,6.334635257720947,101.33954620361328,28.07301394771902,2.389681339263916,6.010365962982178,93.1855697631836,28.437317077636223,2.5265953540802,5.4227752685546875,2.763683795928955,3.673131227493286,1.9783579111099243,1.9041688442230225,0.8040200471878052,-0.9118599891662598,-0.5875906944274902,-25.1243896484375,-16.970413208007812,0.18067061497200795,-0.1275128542189204,478.60174560546875,1.548884630203247,0.0399322509765625,1.2313538789749146,0.16136401891708374,2.681382835153392,0.7949934601783752,Other,False,False
case2,2432,0,2688,256,256,256,4.422872066497803,37.0039176940918,32.44832669485247,0.8029898332659972,2.5791473388671875,0.0245208740234375,4.92578649520874,54.789852142333984,30.743802425118755,2.2523093223571777,4.33105993270874,34.03109359741211,32.812044716171215,2.3538219928741455,4.422872066497803,2.5791473388671875,3.655431032180786,1.4709829092025757,1.5152804851531982,0.614107608795166,-0.5029144287109375,0.0918121337890625,-17.785934448242188,2.9728240966796875,0.37520108222016746,0.30432726866970866,2353.81396484375,0.7323778867721558,0.0007781982421875,0.9446513652801514,0.5147472620010376,3.492963662696879,1.2898396253585815,Other,True,False
case2,2816,640,3072,896,256,256,5.25824499130249,77.9258804321289,29.21398657263278,0.7676701266142844,3.3418021202087402,0.0333404541015625,5.60814905166626,93.3416976928711,28.430046534939528,2.617245674133301,5.26685094833374,74.3017349243164,29.420814212013028,2.957822322845459,5.25824499130249,3.3418021202087402,3.6393840312957764,1.4433695077896118,2.1352367401123047,0.721146821975708,-0.34990406036376953,-0.00860595703125,-15.415817260742188,3.6241455078125,0.40339070089790985,0.230120788965617,676.6968994140625,0.9354654550552368,0.0207977294921875,1.0166728496551514,0.4275665581226349,1.9675891339677918,1.086808443069458,Other,False,False
case2,512,3584,768,3840,256,256,4.344655513763428,41.15397262573242,31.986686099228024,0.8369926450299544,2.287334442138672,0.017486572265625,4.890096187591553,65.47489166259766,29.970055555026782,2.0042078495025635,4.296335697174072,39.39860153198242,32.17599568229535,1.9995545148849487,4.344655513763428,2.287334442138672,3.6393229961395264,1.3225198984146118,1.9828441143035889,0.6257761716842651,-0.545440673828125,0.04831981658935547,-24.320919036865234,1.75537109375,0.30978608511765793,0.24538884348508885,313.3896179199219,0.8463782072067261,0.0163726806640625,0.9006345868110657,0.12177065759897232,2.651271914392488,1.0641028881072998,Other,True,False
case2,2688,0,2944,256,256,256,4.11292028427124,33.12898254394531,32.92872262816783,0.8219672246823323,2.407813787460327,0.0294036865234375,4.5733184814453125,53.11252212524414,30.878834254575,2.2470107078552246,3.9303386211395264,28.092519760131836,33.644896756802225,2.188373565673828,4.11292028427124,2.407813787460327,3.5670979022979736,1.5258737802505493,1.46092689037323,0.6351155042648315,-0.46039819717407227,0.18258166313171387,-19.983539581298828,5.036462783813477,0.42154466060289614,0.3948810307155109,5178.3115234375,0.9204249382019043,0.0026702880859375,0.9119161367416382,0.6536926627159119,3.084481097016189,0.9907544851303101,Other,True,False
case2,2688,128,2944,384,256,256,3.391596555709839,27.2204647064209,33.78184835827219,0.8928071256050455,1.727229118347168,0.0291290283203125,3.959136962890625,52.49882888793945,30.92930734813041,1.8181517124176025,3.2628276348114014,21.62925148010254,34.78038857959536,1.5289915800094604,3.391596555709839,1.727229118347168,3.4102325439453125,1.5170236825942993,1.629661202430725,0.6518057584762573,-0.5675404071807861,0.1287689208984375,-25.278364181518555,5.591213226318359,0.47737480726284326,0.45966220151224013,1556.7298583984375,0.8710627555847168,0.004150390625,0.8091939687728882,0.21312350034713745,2.817423276548455,0.9289721250534058,Other,True,False
