case,x0,y0,x1,y1,width,height,lq_gt_l1,lq_gt_mse,lq_gt_psnr,lq_gt_ssim,lq_gt_gradient_difference,lq_gt_edge_density_difference,h200_gt_l1,h200_gt_mse,h200_gt_psnr,h200_gt_gradient_difference,h50_gt_l1,h50_gt_mse,h50_gt_psnr,h50_gt_gradient_difference,required_change_l1,required_change_gradient,generated_change_200_l1,generated_change_50_l1,generated_change_200_gradient,generated_change_50_gradient,improvement_200_l1,improvement_50_l1,improvement_200_mse,improvement_50_mse,change_alignment_200,change_alignment_50,local_variance,gradient_magnitude,edge_density,laplacian_magnitude,local_contrast,local_entropy,blur_proxy,primary_type,type_e_conservative,type_f_potential_ideal
case1,0,0,256,256,256,256,5.2237701416015625,105.9564208984375,27.879531018742938,0.9001861362699323,0.9775885939598083,0.0133514404296875,6.27764368057251,198.6472930908203,25.14997664961883,2.911058187484741,4.9494781494140625,110.2586898803711,27.706675631341398,1.3426753282546997,5.2237701416015625,0.9775885939598083,4.708180904388428,1.8264261484146118,2.8848230838775635,0.9227195382118225,-1.0538735389709473,0.2742919921875,-92.69087219238281,-4.302268981933594,-0.010828787892476193,0.08550135602856117,331.1239013671875,1.2667250633239746,0.0271148681640625,0.9529012441635132,0.1060195192694664,1.7837868020838448,0.7522552013397217,Other,True,False
case1,128,0,384,256,256,256,5.63158655166626,118.9059066772461,27.37876959904564,0.8869064258386427,1.1269596815109253,0.0150299072265625,7.104135990142822,239.8487091064453,24.331430031120647,3.2237374782562256,5.447296142578125,127.43575286865234,27.0778904583794,1.5105392932891846,5.63158655166626,1.1269596815109253,5.4774627685546875,2.065037965774536,3.2425644397735596,1.0170302391052246,-1.4725494384765625,0.18429040908813477,-120.94280242919922,-8.52984619140625,-0.01986617860674523,0.05080362291621477,389.01165771484375,1.4898953437805176,0.0366058349609375,1.0208944082260132,0.11598628014326096,1.974962006070839,0.685211718082428,D_direction_mismatch_or_harmful,True,False
case1,256,0,512,256,256,256,5.41522741317749,112.77465057373047,27.608688609408965,0.884519807407786,1.1312198638916016,0.0149078369140625,8.594100952148438,360.6104431152344,22.560420797044003,3.294625759124756,5.8283538818359375,151.17225646972656,26.336082360319256,1.5691194534301758,5.41522741317749,1.1312198638916016,6.913126468658447,2.8148295879364014,3.4017324447631836,1.1300491094589233,-3.1788735389709473,-0.41312646865844727,-247.8357925415039,-38.397605895996094,-0.08099332988244155,-0.07032271358979317,372.4992980957031,1.4637210369110107,0.0355682373046875,1.0221149921417236,0.11363986879587173,1.950437705603526,0.6982985734939575,D_direction_mismatch_or_harmful,False,False
case1,384,0,640,256,256,256,5.213526248931885,106.0552978515625,27.875479720411974,0.8894459749172802,1.1000783443450928,0.02130126953125,9.82695484161377,459.8985290527344,21.50418378771253,3.325864791870117,6.1535797119140625,169.2725830078125,25.844937525637498,1.5223724842071533,5.213526248931885,1.1000783443450928,8.053898811340332,3.4314777851104736,3.5227856636047363,1.1946039199829102,-4.613428592681885,-0.9400534629821777,-353.8432312011719,-63.21728515625,-0.11952439329850569,-0.13040403850371005,348.45367431640625,1.3569839000701904,0.0263214111328125,0.9867553114891052,0.10945701599121094,1.8953823927363629,0.727167546749115,D_direction_mismatch_or_harmful,False,False
case1,512,0,768,256,256,256,5.3805694580078125,103.81148529052734,27.9683498799781,0.8912429069572095,1.1268689632415771,0.024169921875,8.152409553527832,326.5705261230469,22.991033952472442,3.248626947402954,5.68280553817749,137.16610717773438,26.75833531381981,1.4354674816131592,5.3805694580078125,1.1268689632415771,6.487945556640625,2.6632587909698486,3.407435655593872,1.0491052865982056,-2.7718400955200195,-0.30223608016967773,-222.75904083251953,-33.35462188720703,-0.08252006626490378,-0.06191796862724988,317.0436706542969,1.2842516899108887,0.0222015380859375,0.9693705439567566,0.10379683971405029,1.8505447716949959,0.7548129558563232,D_direction_mismatch_or_harmful,False,False
case1,640,0,896,256,256,256,5.698516845703125,97.51422119140625,28.240124043019534,0.8946864603384342,1.0818955898284912,0.024200439453125,6.7145538330078125,191.95582580566406,25.29879063498321,3.3149783611297607,5.274759769439697,97.24697875976562,28.2520424319247,1.3618366718292236,5.698516845703125,1.0818955898284912,5.13983678817749,1.8411966562271118,3.4143381118774414,0.9130570292472839,-1.0160369873046875,0.42375707626342773,-94.44160461425781,0.267242431640625,0.037706993347505,0.15934026992752923,319.57733154296875,1.2494323253631592,0.022857666015625,0.9365030527114868,0.10383233428001404,1.7666520555937584,0.7495422959327698,D_direction_mismatch_or_harmful,True,False
case1,768,0,1024,256,256,256,6.128102779388428,107.9377212524414,27.799071054993373,0.8890467855089176,1.1387213468551636,0.030242919921875,6.988245487213135,189.79010009765625,25.348067943785413,3.3996033668518066,5.646128177642822,103.43904876708984,27.983958534578846,1.4308768510818481,6.128102779388428,1.1387213468551636,5.25195837020874,1.826995849609375,3.5306825637817383,0.9463684558868408,-0.860142707824707,0.48197460174560547,-81.85237884521484,4.4986724853515625,0.09023895751053235,0.21746784850926673,403.6208190917969,1.3570083379745483,0.026458740234375,0.9615885019302368,0.11755755543708801,1.8450255450578172,0.7086086273193359,D_direction_mismatch_or_harmful,True,False
case1,896,0,1152,256,256,256,5.711832523345947,101.79266357421875,28.053638823175447,0.892688030585398,1.1401805877685547,0.0244903564453125,6.30957555770874,160.9912567138672,26.06278070326927,3.1144747734069824,5.161900997161865,94.80008697509766,28.36271590131232,1.4029803276062012,5.711832523345947,1.1401805877685547,4.95673131942749,1.8089447021484375,3.2956185340881348,0.9415112137794495,-0.597743034362793,0.549931526184082,-59.19859313964844,6.992576599121094,0.15084320170208973,0.26420805476871945,379.68505859375,1.3898372650146484,0.032135009765625,0.975728452205658,0.1135869175195694,1.7806538726207555,0.7020446062088013,D_direction_mismatch_or_harmful,True,False
case1,1024,0,1280,256,256,256,5.048182010650635,89.00528717041016,28.636645178865983,0.9021896095108826,1.0724620819091797,0.022857666015625,5.90459680557251,150.64097595214844,26.351372402025067,3.0246334075927734,4.632334232330322,87.65567779541016,28.70300296002844,1.3890485763549805,5.048182010650635,1.0724620819091797,4.756246089935303,1.7751007080078125,3.111626148223877,0.9447288513183594,-0.856414794921875,0.4158477783203125,-61.63568878173828,1.349609375,0.10847551021589563,0.18463558940270502,358.34210205078125,1.3656073808670044,0.03094482421875,0.977752685546875,0.11025156825780869,1.7317274981139905,0.7159832715988159,D_direction_mismatch_or_harmful,True,False
case1,1152,0,1408,256,256,256,5.0666351318359375,89.0662841796875,28.633670516188698,0.9022563317037422,1.0778642892837524,0.02691650390625,6.089324951171875,156.5137481689453,26.18527882992318,3.0539932250976562,4.75622034072876,92.44576263427734,28.471933393933494,1.4159411191940308,5.0666351318359375,1.0778642892837524,4.706700801849365,1.7481180429458618,3.060445785522461,0.9374303817749023,-1.0226898193359375,0.31041479110717773,-67.44746398925781,-3.3794784545898438,0.061243886092418875,0.1053282511024248,335.82000732421875,1.2663614749908447,0.0240020751953125,0.9268594980239868,0.10675010085105896,1.6809494968030019,0.7319069504737854,Other,True,False
