case,metric,q10,q25,q50,q75,q90
case1,required_change_l1,0.781589,1.022573,1.767909,4.668142,6.300556
case1,generated_change_200_l1,1.825769,2.351964,2.821523,4.716019,6.453943
case1,generated_change_50_l1,0.731121,0.790039,0.949214,1.826996,2.336328
case1,improvement_200_l1,-2.159003,-1.754583,-1.160049,-0.783788,-0.498212
case1,improvement_50_l1,-0.452695,-0.299937,-0.052012,0.251155,0.472582
case2,required_change_l1,3.635306,4.805735,5.929723,7.564967,9.100381
case2,generated_change_200_l1,4.007065,5.877319,8.699249,11.420766,13.667299
case2,generated_change_50_l1,1.578680,2.130635,2.886536,3.939936,5.016614
case2,improvement_200_l1,-4.835002,-3.202342,-1.780339,-0.825114,-0.350680
case2,improvement_50_l1,-0.195419,-0.018148,0.264684,0.643265,1.213092
case3,required_change_l1,0.844662,0.930211,1.316376,3.289119,4.960253
case3,generated_change_200_l1,1.877446,2.519699,4.208313,6.889826,9.575072
case3,generated_change_50_l1,0.890358,1.032008,1.510503,2.249736,3.033995
case3,improvement_200_l1,-6.311591,-4.071976,-2.511708,-1.525116,-1.170376
case3,improvement_50_l1,-1.036359,-0.675481,-0.496943,-0.381032,-0.238318
case4,required_change_l1,17.463774,20.052912,23.544632,27.563105,31.330330
case4,generated_change_200_l1,6.926016,9.821956,13.109940,17.270493,20.963186
case4,generated_change_50_l1,2.065198,2.451533,2.884796,3.456350,4.004168
case4,improvement_200_l1,-5.728602,-3.756756,-2.274475,-1.049362,-0.176637
case4,improvement_50_l1,0.072211,0.150940,0.222229,0.314081,0.423326
case5,required_change_l1,4.190744,5.663061,6.954417,8.820491,11.060731
case5,generated_change_200_l1,3.814043,6.513779,8.245585,10.778854,13.551035
case5,generated_change_50_l1,1.830235,3.118942,4.163239,5.330465,7.083403
case5,improvement_200_l1,-3.040578,-1.782272,-0.904785,-0.367523,0.073905
case5,improvement_50_l1,0.006513,0.322021,0.701976,1.175548,1.591630
