case,method,region,pixels,mean_weight,change_L1,error_to_GT_L1,gradient_change
case1,LQ,strong_edge,2516583,,0.000000,9.768621,0.000000
case1,LQ,textured_non_edge,51886,,0.000000,1.874616,0.000000
case1,LQ,other,10014443,,0.000000,1.178697,0.000000
case1,HYPIR-50,strong_edge,2516583,,3.635112,9.033009,10.677102
case1,HYPIR-50,textured_non_edge,51886,,0.855632,1.967114,3.001170
case1,HYPIR-50,other,10014443,,0.781995,1.380638,2.857273
case1,HYPIR-200,strong_edge,2516583,,9.800676,11.349716,33.829556
case1,HYPIR-200,textured_non_edge,51886,,1.919400,2.519607,8.664959
case1,HYPIR-200,other,10014443,,2.125929,2.407038,10.259652
case1,confidence_200_LQ,strong_edge,2516583,,4.834008,9.603931,17.764816
case1,confidence_200_LQ,textured_non_edge,51886,,0.301019,1.872149,1.959425
case1,confidence_200_LQ,other,10014443,,0.056625,1.187003,0.530020
case1,structure_guard_h50,strong_edge,2516583,0.205702,0.629327,9.522848,2.105682
case1,structure_guard_h50,textured_non_edge,51886,0.316705,0.270881,1.876563,1.595405
case1,structure_guard_h50,other,10014443,0.318530,0.248892,1.215235,1.899520
case1,structure_guard_h200,strong_edge,2516583,0.205702,1.588311,9.366427,5.649086
case1,structure_guard_h200,textured_non_edge,51886,0.316705,0.607849,1.918267,2.708379
case1,structure_guard_h200,other,10014443,0.318530,0.677157,1.383772,3.353569
case1,texture_selective_h50,strong_edge,2516583,0.227180,0.879159,9.476310,3.070076
case1,texture_selective_h50,textured_non_edge,51886,0.116545,0.099869,1.875018,1.632407
case1,texture_selective_h50,other,10014443,0.057181,0.045066,1.184859,1.903634
case1,texture_selective_h200,strong_edge,2516583,0.227180,2.364277,9.351180,8.738463
case1,texture_selective_h200,textured_non_edge,51886,0.116545,0.223921,1.881103,1.873746
case1,texture_selective_h200,other,10014443,0.057181,0.121161,1.203929,2.114414
case1,blurred_texture_h50,strong_edge,2516583,0.123291,0.409299,9.607567,1.518298
case1,blurred_texture_h50,textured_non_edge,51886,0.112952,0.096611,1.875178,1.637419
case1,blurred_texture_h50,other,10014443,0.057200,0.045060,1.184877,1.903558
case1,blurred_texture_h200,strong_edge,2516583,0.123291,1.050507,9.483758,3.913260
case1,blurred_texture_h200,textured_non_edge,51886,0.112952,0.216888,1.881078,1.875159
case1,blurred_texture_h200,other,10014443,0.057200,0.121201,1.203978,2.114162
case2,LQ,strong_edge,2516584,,0.000000,13.509303,0.000000
case2,LQ,textured_non_edge,419187,,0.000000,6.159645,0.000000
case2,LQ,other,9647141,,0.000000,4.127579,0.000000
case2,HYPIR-50,strong_edge,2516584,,8.580615,11.906406,27.539915
case2,HYPIR-50,textured_non_edge,419187,,2.492032,5.978041,4.635227
case2,HYPIR-50,other,9647141,,1.695587,4.090315,4.396396
case2,HYPIR-200,strong_edge,2516584,,24.077450,19.651217,76.765053
case2,HYPIR-200,textured_non_edge,419187,,6.040349,6.761423,13.731372
case2,HYPIR-200,other,9647141,,4.699200,5.401188,15.307190
case2,confidence_200_LQ,strong_edge,2516584,,10.062053,11.559622,34.002468
case2,confidence_200_LQ,textured_non_edge,419187,,2.064143,5.569717,4.943032
case2,confidence_200_LQ,other,9647141,,0.862691,3.888700,2.804969
case2,structure_guard_h50,strong_edge,2516584,0.179725,1.399631,12.795096,4.495636
case2,structure_guard_h50,textured_non_edge,419187,0.270415,0.664950,6.024291,1.627965
case2,structure_guard_h50,other,9647141,0.307008,0.493829,4.050689,1.844413
case2,structure_guard_h200,strong_edge,2516584,0.179725,3.975924,11.836085,12.969171
case2,structure_guard_h200,textured_non_edge,419187,0.270415,1.598434,5.647600,3.807519
case2,structure_guard_h200,other,9647141,0.307008,1.349672,3.933637,4.377291
case2,texture_selective_h50,strong_edge,2516584,0.234710,1.907381,12.559884,6.269547
case2,texture_selective_h50,textured_non_edge,419187,0.262623,0.646497,6.026673,1.598118
case2,texture_selective_h50,other,9647141,0.106799,0.226703,4.069015,1.568683
case2,texture_selective_h200,strong_edge,2516584,0.234710,5.328803,11.435679,17.738329
case2,texture_selective_h200,textured_non_edge,419187,0.262623,1.546156,5.648774,3.728931
case2,texture_selective_h200,other,9647141,0.106799,0.648137,3.932811,2.709183
case2,blurred_texture_h50,strong_edge,2516584,0.130534,0.958317,13.021817,3.086091
case2,blurred_texture_h50,textured_non_edge,419187,0.211582,0.515165,6.055161,1.343325
case2,blurred_texture_h50,other,9647141,0.100798,0.201884,4.079306,1.501668
case2,blurred_texture_h200,strong_edge,2516584,0.130534,2.701780,12.228803,8.697539
case2,blurred_texture_h200,textured_non_edge,419187,0.211582,1.229117,5.729794,2.997754
case2,blurred_texture_h200,other,9647141,0.100798,0.571637,3.954305,2.467073
case3,LQ,strong_edge,2516583,,0.000000,5.031256,0.000000
case3,LQ,textured_non_edge,279395,,0.000000,2.705838,0.000000
case3,LQ,other,9786934,,0.000000,1.450532,0.000000
case3,HYPIR-50,strong_edge,2516583,,3.783150,5.793312,8.719844
case3,HYPIR-50,textured_non_edge,279395,,1.624073,3.173305,3.329569
case3,HYPIR-50,other,9786934,,1.206755,1.984797,3.109792
case3,HYPIR-200,strong_edge,2516583,,11.717484,11.605199,28.774324
case3,HYPIR-200,textured_non_edge,279395,,4.115929,4.856893,11.140784
