"case","method","PSNR","SSIM","LPIPS_Alex","Delta_PSNR_vs_LQ","Delta_SSIM_vs_LQ","Delta_LPIPS_vs_LQ"
"case1","LQ","32.028801","0.948453","0.078794","0.000000","0.000000","0.000000"
"case1","HYPIR-50","32.143319","0.945300","0.064659","0.114518","-0.003153","-0.014135"
"case1","HYPIR-200","29.335323","0.846634","0.071112","-2.693478","-0.101819","-0.007682"
"case1","confidence_200_LQ","31.560822","0.943617","0.059521","-0.467979","-0.004836","-0.019273"
"case1","structure_guard_h50","32.149323","0.949644","0.078243","0.120522","0.001191","-0.000551"
"case1","structure_guard_h200","32.160429","0.940151","0.072939","0.131628","-0.008302","-0.005855"
"case1","texture_selective_h50","32.173486","0.950791","0.075361","0.144685","0.002338","-0.003433"
"case1","texture_selective_h200","32.154456","0.949652","0.067309","0.125655","0.001199","-0.011485"
"case1","blurred_texture_h50","32.108767","0.949733","0.077484","0.079966","0.001280","-0.001310"
"case1","blurred_texture_h200","32.178153","0.950205","0.074431","0.149352","0.001752","-0.004363"
"case2","LQ","28.189381","0.831443","0.103027","0.000000","0.000000","0.000000"
"case2","HYPIR-50","28.976278","0.825432","0.079462","0.786897","-0.006011","-0.023565"
"case2","HYPIR-200","24.213958","0.731045","0.108835","-3.975423","-0.100398","0.005808"
"case2","confidence_200_LQ","29.108667","0.832571","0.077856","0.919286","0.001128","-0.025171"
"case2","structure_guard_h50","28.568562","0.835426","0.092254","0.379181","0.003983","-0.010773"
"case2","structure_guard_h200","29.075134","0.832917","0.072496","0.885753","0.001474","-0.030531"
"case2","texture_selective_h50","28.630773","0.835622","0.094597","0.441392","0.004179","-0.008430"
"case2","texture_selective_h200","29.241406","0.838088","0.079302","1.052025","0.006645","-0.023725"
"case2","blurred_texture_h50","28.428888","0.834212","0.097185","0.239507","0.002769","-0.005842"
"case2","blurred_texture_h200","28.864843","0.837490","0.083555","0.675462","0.006047","-0.019472"
"case3","LQ","35.622082","0.934958","0.058367","0.000000","0.000000","0.000000"
"case3","HYPIR-50","34.688713","0.920412","0.074223","-0.933369","-0.014546","0.015856"
"case3","HYPIR-200","28.865398","0.812097","0.169974","-6.756684","-0.122861","0.111607"
"case3","confidence_200_LQ","34.371180","0.925065","0.064678","-1.250902","-0.009893","0.006311"
"case3","structure_guard_h50","35.675977","0.934700","0.059936","0.053895","-0.000258","0.001569"
"case3","structure_guard_h200","35.327667","0.922794","0.066402","-0.294415","-0.012164","0.008035"
"case3","texture_selective_h50","35.752753","0.935690","0.056445","0.130671","0.000732","-0.001922"
"case3","texture_selective_h200","35.630109","0.932953","0.056104","0.008027","-0.002005","-0.002263"
"case3","blurred_texture_h50","35.686637","0.935342","0.057509","0.064555","0.000384","-0.000858"
"case3","blurred_texture_h200","35.722908","0.933903","0.056545","0.100826","-0.001055","-0.001822"
"case4","LQ","18.056199","0.309323","0.654342","0.000000","0.000000","0.000000"
"case4","HYPIR-50","18.084599","0.310380","0.543480","0.028400","0.001057","-0.110862"
"case4","HYPIR-200","16.352439","0.257605","0.376833","-1.703760","-0.051718","-0.277509"
"case4","confidence_200_LQ","17.825277","0.301069","0.478808","-0.230922","-0.008254","-0.175534"
"case4","structure_guard_h50","18.076409","0.311036","0.638841","0.020210","0.001713","-0.015501"
"case4","structure_guard_h200","18.014868","0.302824","0.529588","-0.041331","-0.006499","-0.124754"
"case4","texture_selective_h50","18.075506","0.310800","0.637441","0.019307","0.001477","-0.016901"
"case4","texture_selective_h200","18.019865","0.306790","0.536626","-0.036334","-0.002533","-0.117716"
"case4","blurred_texture_h50","18.068240","0.310238","0.646136","0.012041","0.000915","-0.008206"
"case4","blurred_texture_h200","18.058563","0.307981","0.580924","0.002364","-0.001342","-0.073418"
"case5","LQ","26.275637","0.864316","0.127044","0.000000","0.000000","0.000000"
"case5","HYPIR-50","27.394758","0.883153","0.048371","1.119121","0.018837","-0.078673"
"case5","HYPIR-200","23.875816","0.777249","0.071578","-2.399821","-0.087067","-0.055466"
"case5","confidence_200_LQ","27.377611","0.881160","0.061454","1.101974","0.016844","-0.065590"
"case5","structure_guard_h50","26.818405","0.878081","0.107210","0.542768","0.013765","-0.019834"
"case5","structure_guard_h200","27.100107","0.872944","0.088140","0.824470","0.008628","-0.038904"
"case5","texture_selective_h50","27.003029","0.877576","0.105142","0.727392","0.013260","-0.021902"
"case5","texture_selective_h200","27.355563","0.879620","0.083387","1.079926","0.015304","-0.043657"
"case5","blurred_texture_h50","26.640146","0.872541","0.116343","0.364509","0.008225","-0.010701"
"case5","blurred_texture_h200","26.891058","0.874859","0.104282","0.615421","0.010543","-0.022762"
"Average","LQ","28.034420","0.777699","0.204315","0.000000","0.000000","0.000000"
"Average","HYPIR-50","28.257533","0.776935","0.162039","0.223113","-0.000764","-0.042276"
"Average","HYPIR-200","24.528587","0.684926","0.159667","-3.505833","-0.092773","-0.044648"
"Average","confidence_200_LQ","28.048712","0.776696","0.148463","0.014292","-0.001003","-0.055852"
"Average","structure_guard_h50","28.257735","0.781777","0.195297","0.223315","0.004078","-0.009018"
"Average","structure_guard_h200","28.335641","0.774326","0.165913","0.301221","-0.003373","-0.038402"
"Average","texture_selective_h50","28.327110","0.782096","0.193797","0.292690","0.004397","-0.010518"
"Average","texture_selective_h200","28.480280","0.781421","0.164546","0.445860","0.003722","-0.039769"
"Average","blurred_texture_h50","28.186536","0.780413","0.198931","0.152116","0.002714","-0.005384"
"Average","blurred_texture_h200","28.343105","0.780888","0.179947","0.308685","0.003189","-0.024368"
