case,strategy,mean,p10,p50,p90,strong_edge_mean
case1,structure_guard,0.295957,0.197578,0.318451,0.320206,0.205702
case1,texture_selective,0.091426,0.050413,0.057660,0.240632,0.227180
case1,blurred_texture,0.070648,0.050431,0.057791,0.121477,0.123291
case2,structure_guard,0.280332,0.190369,0.310436,0.319577,0.179725
case2,texture_selective,0.137572,0.053215,0.123668,0.245395,0.234710
case2,blurred_texture,0.110436,0.053243,0.104936,0.181937,0.130534
case3,structure_guard,0.279290,0.204680,0.301452,0.317544,0.190755
case3,texture_selective,0.124708,0.057317,0.106046,0.220629,0.219239
case3,blurred_texture,0.102787,0.057144,0.097399,0.156375,0.130214
case4,structure_guard,0.255501,0.178204,0.269236,0.310923,0.168559
case4,texture_selective,0.169726,0.086866,0.173608,0.243322,0.236601
case4,blurred_texture,0.126651,0.079744,0.130504,0.165122,0.119400
case5,structure_guard,0.283127,0.204665,0.309595,0.318041,0.194986
case5,texture_selective,0.129665,0.052694,0.105272,0.244083,0.240315
case5,blurred_texture,0.099086,0.052738,0.093791,0.153459,0.127208
