case,method,weight,region,pixels,mean_weight,change_L1,error_to_GT_L1
case1,LQ,,strong_edge,2516583,,0.000000,9.768621
case1,LQ,,textured_non_edge,51886,,0.000000,1.874616
case1,LQ,,other,10014443,,0.000000,1.178697
case1,HYPIR-200,,strong_edge,2516583,,9.800676,11.349716
case1,HYPIR-200,,textured_non_edge,51886,,1.919400,2.519607
case1,HYPIR-200,,other,10014443,,2.125929,2.407038
case1,texture_selective_h200,,strong_edge,2516583,0.227180,2.364277,9.351180
case1,texture_selective_h200,,textured_non_edge,51886,0.116545,0.223921,1.881103
case1,texture_selective_h200,,other,10014443,0.057181,0.121161,1.203929
case1,texture_weight_0.25_h200,0.25,strong_edge,2516583,0.227180,2.364277,9.351180
case1,texture_weight_0.25_h200,0.25,textured_non_edge,51886,0.250000,0.479850,1.897156
case1,texture_weight_0.25_h200,0.25,other,10014443,0.057181,0.121161,1.203929
case1,texture_weight_0.40_h200,0.40,strong_edge,2516583,0.227180,2.364277,9.351180
case1,texture_weight_0.40_h200,0.40,textured_non_edge,51886,0.400000,0.767760,1.957312
case1,texture_weight_0.40_h200,0.40,other,10014443,0.057181,0.121161,1.203929
case1,texture_weight_0.55_h200,0.55,strong_edge,2516583,0.227180,2.364277,9.351180
case1,texture_weight_0.55_h200,0.55,textured_non_edge,51886,0.550000,1.055670,2.056796
case1,texture_weight_0.55_h200,0.55,other,10014443,0.057181,0.121161,1.203929
case1,texture_weight_0.70_h200,0.70,strong_edge,2516583,0.227180,2.364277,9.351180
case1,texture_weight_0.70_h200,0.70,textured_non_edge,51886,0.700000,1.343580,2.192848
case1,texture_weight_0.70_h200,0.70,other,10014443,0.057181,0.121161,1.203929
case1,texture_weight_0.85_h200,0.85,strong_edge,2516583,0.227180,2.364277,9.351180
case1,texture_weight_0.85_h200,0.85,textured_non_edge,51886,0.850000,1.631490,2.352840
case1,texture_weight_0.85_h200,0.85,other,10014443,0.057181,0.121161,1.203929
case1,texture_weight_1.00_h200,1.00,strong_edge,2516583,0.227180,2.364277,9.351180
case1,texture_weight_1.00_h200,1.00,textured_non_edge,51886,1.000000,1.919400,2.519607
case1,texture_weight_1.00_h200,1.00,other,10014443,0.057181,0.121161,1.203929
case2,LQ,,strong_edge,2516584,,0.000000,13.509303
case2,LQ,,textured_non_edge,419187,,0.000000,6.159645
case2,LQ,,other,9647141,,0.000000,4.127579
case2,HYPIR-200,,strong_edge,2516584,,24.077450,19.651217
case2,HYPIR-200,,textured_non_edge,419187,,6.040349,6.761423
case2,HYPIR-200,,other,9647141,,4.699200,5.401188
case2,texture_selective_h200,,strong_edge,2516584,0.234710,5.328803,11.435679
case2,texture_selective_h200,,textured_non_edge,419187,0.262623,1.546156,5.648774
case2,texture_selective_h200,,other,9647141,0.106799,0.648137,3.932811
case2,texture_weight_0.25_h200,0.25,strong_edge,2516584,0.234710,5.328803,11.435679
case2,texture_weight_0.25_h200,0.25,textured_non_edge,419187,0.250000,1.510087,5.669801
case2,texture_weight_0.25_h200,0.25,other,9647141,0.106799,0.648137,3.932811
case2,texture_weight_0.40_h200,0.40,strong_edge,2516584,0.234710,5.328803,11.435679
case2,texture_weight_0.40_h200,0.40,textured_non_edge,419187,0.400000,2.416141,5.592181
case2,texture_weight_0.40_h200,0.40,other,9647141,0.106799,0.648137,3.932811
case2,texture_weight_0.55_h200,0.55,strong_edge,2516584,0.234710,5.328803,11.435679
case2,texture_weight_0.55_h200,0.55,textured_non_edge,419187,0.550000,3.322192,5.682406
case2,texture_weight_0.55_h200,0.55,other,9647141,0.106799,0.648137,3.932811
case2,texture_weight_0.70_h200,0.70,strong_edge,2516584,0.234710,5.328803,11.435679
case2,texture_weight_0.70_h200,0.70,textured_non_edge,419187,0.700000,4.228244,5.925352
case2,texture_weight_0.70_h200,0.70,other,9647141,0.106799,0.648137,3.932811
case2,texture_weight_0.85_h200,0.85,strong_edge,2516584,0.234710,5.328803,11.435679
case2,texture_weight_0.85_h200,0.85,textured_non_edge,419187,0.850000,5.134297,6.297012
case2,texture_weight_0.85_h200,0.85,other,9647141,0.106799,0.648137,3.932811
case2,texture_weight_1.00_h200,1.00,strong_edge,2516584,0.234710,5.328803,11.435679
case2,texture_weight_1.00_h200,1.00,textured_non_edge,419187,1.000000,6.040349,6.761423
case2,texture_weight_1.00_h200,1.00,other,9647141,0.106799,0.648137,3.932811
case3,LQ,,strong_edge,2516583,,0.000000,5.031256
case3,LQ,,textured_non_edge,279395,,0.000000,2.705838
case3,LQ,,other,9786934,,0.000000,1.450532
case3,HYPIR-200,,strong_edge,2516583,,11.717484,11.605199
case3,HYPIR-200,,textured_non_edge,279395,,4.115929,4.856893
case3,HYPIR-200,,other,9786934,,3.333483,3.689075
case3,texture_selective_h200,,strong_edge,2516583,0.219239,2.505247,5.159351
case3,texture_selective_h200,,textured_non_edge,279395,0.223894,0.887729,2.821497
case3,texture_selective_h200,,other,9786934,0.097569,0.368092,1.537832
case3,texture_weight_0.25_h200,0.25,strong_edge,2516583,0.219239,2.505247,5.159351
case3,texture_weight_0.25_h200,0.25,textured_non_edge,279395,0.250000,1.028982,2.873542
case3,texture_weight_0.25_h200,0.25,other,9786934,0.097569,0.368092,1.537832
