case,method,weight,PSNR,SSIM,LPIPS_Alex,Delta_PSNR_vs_LQ,Delta_SSIM_vs_LQ,Delta_LPIPS_vs_LQ
case1,LQ,,32.028801,0.948453,0.078818,0.000000,0.000000,0.000000
case1,HYPIR-200,,29.335323,0.846634,0.071107,-2.693478,-0.101820,-0.007712
case1,texture_selective_h200,,32.154456,0.949652,0.067331,0.125654,0.001199,-0.011488
case1,texture_weight_0.25_h200,0.25,32.154426,0.949636,0.067328,0.125625,0.001183,-0.011490
case1,texture_weight_0.40_h200,0.40,32.154295,0.949608,0.067320,0.125494,0.001154,-0.011498
case1,texture_weight_0.55_h200,0.55,32.153940,0.949547,0.067317,0.125138,0.001093,-0.011502
case1,texture_weight_0.70_h200,0.70,32.153671,0.949503,0.067316,0.124870,0.001050,-0.011502
case1,texture_weight_0.85_h200,0.85,32.152986,0.949398,0.067307,0.124185,0.000944,-0.011511
case1,texture_weight_1.00_h200,1.00,32.152515,0.949328,0.067297,0.123714,0.000875,-0.011522
case2,LQ,,28.189381,0.831443,0.103031,0.000000,0.000000,0.000000
case2,HYPIR-200,,24.213958,0.731045,0.108812,-3.975424,-0.100398,0.005782
case2,texture_selective_h200,,29.241406,0.838088,0.079297,1.052024,0.006644,-0.023733
case2,texture_weight_0.25_h200,0.25,29.240913,0.838085,0.079288,1.051532,0.006641,-0.023743
case2,texture_weight_0.40_h200,0.40,29.238725,0.837713,0.079275,1.049344,0.006270,-0.023756
case2,texture_weight_0.55_h200,0.55,29.228671,0.836944,0.079227,1.039290,0.005501,-0.023803
case2,texture_weight_0.70_h200,0.70,29.210842,0.835889,0.079213,1.021461,0.004446,-0.023818
case2,texture_weight_0.85_h200,0.85,29.185254,0.834566,0.079217,0.995872,0.003122,-0.023814
case2,texture_weight_1.00_h200,1.00,29.152365,0.833127,0.079268,0.962983,0.001683,-0.023763
case3,LQ,,35.622082,0.934958,0.058362,0.000000,0.000000,0.000000
case3,HYPIR-200,,28.865398,0.812097,0.169986,-6.756683,-0.122862,0.111624
case3,texture_selective_h200,,35.630109,0.932953,0.056101,0.008027,-0.002005,-0.002261
case3,texture_weight_0.25_h200,0.25,35.627483,0.932899,0.056118,0.005401,-0.002059,-0.002244
case3,texture_weight_0.40_h200,0.40,35.611991,0.932574,0.056186,-0.010091,-0.002384,-0.002176
case3,texture_weight_0.55_h200,0.55,35.586048,0.932026,0.056276,-0.036034,-0.002932,-0.002086
case3,texture_weight_0.70_h200,0.70,35.551880,0.931367,0.056419,-0.070202,-0.003592,-0.001944
case3,texture_weight_0.85_h200,0.85,35.506541,0.930535,0.056640,-0.115541,-0.004423,-0.001722
case3,texture_weight_1.00_h200,1.00,35.454404,0.929700,0.056929,-0.167677,-0.005258,-0.001433
case4,LQ,,18.056199,0.309323,0.654324,0.000000,0.000000,0.000000
case4,HYPIR-200,,16.352439,0.257605,0.376841,-1.703761,-0.051718,-0.277482
case4,texture_selective_h200,,18.019865,0.306790,0.536617,-0.036334,-0.002533,-0.117707
case4,texture_weight_0.25_h200,0.25,18.019823,0.306791,0.536599,-0.036377,-0.002532,-0.117724
case4,texture_weight_0.40_h200,0.40,18.017572,0.306510,0.535441,-0.038627,-0.002813,-0.118883
case4,texture_weight_0.55_h200,0.55,18.013518,0.306088,0.533890,-0.042681,-0.003235,-0.120434
case4,texture_weight_0.70_h200,0.70,18.007677,0.305571,0.532057,-0.048522,-0.003752,-0.122267
case4,texture_weight_0.85_h200,0.85,18.000050,0.304981,0.529962,-0.056150,-0.004342,-0.124362
case4,texture_weight_1.00_h200,1.00,17.990658,0.304357,0.527745,-0.065541,-0.004966,-0.126579
case5,LQ,,26.275637,0.864316,0.127053,0.000000,0.000000,0.000000
case5,HYPIR-200,,23.875816,0.777249,0.071574,-2.399821,-0.087067,-0.055480
case5,texture_selective_h200,,27.355563,0.879620,0.083397,1.079927,0.015304,-0.043657
case5,texture_weight_0.25_h200,0.25,27.355773,0.879603,0.083392,1.080136,0.015287,-0.043662
case5,texture_weight_0.40_h200,0.40,27.358889,0.879665,0.083363,1.083252,0.015349,-0.043690
case5,texture_weight_0.55_h200,0.55,27.359083,0.879360,0.083309,1.083447,0.015044,-0.043744
case5,texture_weight_0.70_h200,0.70,27.356367,0.878733,0.083254,1.080731,0.014417,-0.043800
case5,texture_weight_0.85_h200,0.85,27.350728,0.877830,0.083201,1.075091,0.013513,-0.043853
case5,texture_weight_1.00_h200,1.00,27.342337,0.876738,0.083123,1.066700,0.012421,-0.043931
Average,LQ,,28.034420,0.777699,0.204318,0.000000,0.000000,0.000000
Average,HYPIR-200,,24.528587,0.684926,0.159664,-3.505833,-0.092773,-0.044654
Average,texture_selective_h200,,28.480280,0.781421,0.164548,0.445860,0.003722,-0.039769
Average,texture_weight_0.25_h200,0.25,28.479684,0.781403,0.164545,0.445263,0.003704,-0.039773
Average,texture_weight_0.40_h200,0.40,28.476295,0.781214,0.164317,0.441875,0.003515,-0.040001
Average,texture_weight_0.55_h200,0.55,28.468252,0.780793,0.164004,0.433832,0.003094,-0.040314
Average,texture_weight_0.70_h200,0.70,28.456087,0.780213,0.163652,0.421667,0.002514,-0.040666
Average,texture_weight_0.85_h200,0.85,28.439112,0.779462,0.163265,0.404692,0.001763,-0.041052
Average,texture_weight_1.00_h200,1.00,28.418456,0.778650,0.162872,0.384036,0.000951,-0.041445
