model,case,PSNR,SSIM,LPIPS,DISTS,MUSIQ,MANIQA,CLIPIQA,runtime_sec,peak_vram_gb
Identity,case1,32.02880115050813,0.9484534925060527,0.08445502072572708,0.13836437463760376,,,,0.0,
HYPIR,case1,32.143319382517326,0.945299621023851,0.06752185523509979,0.13275110721588135,,,,,
DiffIR,case1,31.41690044228524,0.9413248739365594,0.06875783205032349,0.13284778594970703,,,,53.05881900014356,20.50144863128662
DiffIROfficial,case1,31.41690044228524,0.9413248739365594,0.06875783205032349,0.13284778594970703,,,,62.490806200075895,20.50144863128662
Identity,case2,28.189381483210912,0.8314434530123741,0.12468976527452469,0.10923856496810913,,,,0.0,
HYPIR,case2,28.976277513743995,0.825431602031394,0.0996345728635788,0.10605883598327637,,,,,
DiffIR,case2,28.403439786403858,0.8306911213599703,0.11421863734722137,0.11441671848297119,,,,47.39347749995068,20.64207363128662
DiffIROfficial,case2,28.403439786403858,0.8306911213599703,0.11421863734722137,0.11441671848297119,,,,50.768995399586856,20.64207363128662
Identity,case3,35.62208169890386,0.9349582905866827,0.07341912388801575,0.08194500207901001,,,,0.0,
HYPIR,case3,34.68871254049464,0.9204121592601275,0.08788268268108368,0.07847172021865845,,,,,
DiffIR,case3,35.2260538451531,0.9323382395133675,0.0985761284828186,0.08751726150512695,,,,55.07124820025638,20.64207363128662
DiffIROfficial,case3,35.2260538451531,0.9323382395133675,0.0985761284828186,0.08751726150512695,,,,47.84090130031109,20.64207363128662
Identity,case4,18.056199318367533,0.30932260715082277,0.720805287361145,0.3936615586280823,,,,0.0,
HYPIR,case4,18.084599414285577,0.3103796623029394,0.5946060419082642,0.36773091554641724,,,,,
DiffIR,case4,17.982230241122114,0.31118719370191356,0.6206663846969604,0.3812793493270874,,,,54.37897920003161,20.64207363128662
DiffIROfficial,case4,17.982230241122114,0.31118719370191356,0.6206663846969604,0.3812793493270874,,,,49.67782309977338,20.64207363128662
Identity,case5,26.275636569082227,0.8643162517605201,0.15310309827327728,0.17564678192138672,,,,0.0,
HYPIR,case5,27.394757848489224,0.8831531384020046,0.054435018450021744,0.11875748634338379,,,,,
DiffIR,case5,25.93244752694076,0.8608111858788229,0.12133689224720001,0.17917883396148682,,,,65.36125530023128,20.64207363128662
DiffIROfficial,case5,25.93244752694076,0.8608111858788229,0.12133689224720001,0.17917883396148682,,,,39.779621499590576,20.64207363128662
